,wt,fiber,half,3n75 fiber,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 fiber,ywt,yfiber,yhalf,y3n75 fiber,rwt,rfiber,rhalf,r3n75 fiber
1,0.006978782287823,0.022725408133971,-0.044474066390042,0.00303080872914,1,0,0,1,0,0,0,Chaperone,HSP104,1084,836,964,779,94.3399612546125,74.7812942583732,50.5589574688797,1938.14322207959,611.802105166052,639.609016746411,613.10202593361,556.327218228498
2,0.011516469038208,0.018439356435644,0.224538873220339,0.001552710843373,0,1,0,0,0,0,0,Chaperone,HSP78,759,808,885,664,101.77884057971,72.9178254950495,49.8498666666667,1957.60903012048,194.038333333333,199.649257425743,200.917048587571,185.87461746988
3,0.012944723618091,0.019640916808149,0.168618990384615,-0.002313333333333,0,1,0,0,0,0,0,Chaperone,MCX1,597,1178,832,600,98.4753601340034,72.3431893039049,47.3431370192308,1888.29390666667,37.4396046901173,40.2250959252971,39.7602596153846,41.969895
4,0.002392895586652,0.004470264317181,-0.03884183006536,0.003860975609756,0,0,0,1,0,0,0,DNA-related,RVB1,929,908,765,820,103.086818083961,74.6764526431718,47.2661830065359,2005.02979146341,260.008221743811,265.86727092511,244.745347712418,255.586213414634
5,-0.002862763915547,-0.004867647058824,-0.042892350188679,0.007321092278719,0,0,0,1,0,0,0,DNA-related,RVB2,1042,884,795,1062,102.495823416507,73.4078744343891,47.885665408805,2053.24624576271,195.684615163148,198.486403846154,194.673860377358,196.704786252354
6,0.008162424242424,0.016742548832272,-0.015972850678733,0.00047138047138,0,0,1,0,0,0,0,Chaperone,CNE1,825,942,663,1188,102.91899030303,74.3498959660297,48.1330844645551,2073.5173510101,12.8384715151515,13.8705520169851,12.7698989441931,16.2339393939394
7,0.001811746987952,-0.008027412280702,-0.0852764700883,0.001985013623978,0,0,0,0,0,1,0,Chaperone,TCP1,664,912,906,734,103.187515060241,74.644014254386,49.825444812362,2000.19848228883,244.355072289157,248.853439692982,250.537341059603,249.265964577657
8,0.00433379501385,-0.000302479338843,-0.016552319806452,0.000884472049689,1,0,0,0,0,0,0,Chaperone,CCT2,722,605,775,805,100.728189750693,67.6813024793388,47.1316748387097,1971.37226708075,9.25901246537396,11.4675652892562,11.9307096774194,13.1336944099379
9,0.00722365805169,0.002343130990415,-0.027662660806916,-0.000209210526316,1,0,0,0,0,0,0,Chaperone,CCT3,1006,1565,694,760,90.6151789264413,67.5574108626198,45.50615129683,1812.95554605263,60.6684522862823,59.4919099041534,59.5917766570605,58.1824513157895
10,-0.00390621984127,-0.02550159744409,-0.055804286328125,0.002328947368421,1,0,0,0,0,0,0,Chaperone,CCT4,252,313,256,304,79.4220714285714,60.7689361022364,44.68926953125,1402.18,140.599952380952,140.319872204473,137.75200390625,152.800427631579
11,-0.006032869785082,-0.004060029282577,-0.077514469453376,0.000964873765093,1,0,0,0,0,0,0,Chaperone,CCT5,791,683,622,911,96.0985423514539,65.2594245973646,40.6078054662379,1853.21128979144,214.570380530973,202.861740849195,205.731136655949,212.038852908891
12,0.006369734789392,0.005351443123939,-0.003134834255319,-0.000237006237006,1,0,0,0,0,0,0,Chaperone,CCT6,641,1178,470,481,99.5698127925117,69.2373862478778,47.4293063829787,1984.6801039501,10.7940686427457,8.82038794567063,9.96873617021277,11.474264033264
13,0.077373828390901,0.085023760330579,0.275408208384615,-0.003016129032258,0,1,0,0,0,0,0,Chaperone,HSP10,1187,968,1300,806,101.890546756529,77.352680785124,53.5369376923077,2013.39444168734,1005.63069418703,1029.38548140496,1028.88268923077,1000.82185856079
