"","half","misfolded","fiber","wt","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Peroxisome","golgi","lipid droplet","Category","SGA-hit","names","nhalf","nmisfolded","nfiber","nwt","yhalf","ymisfolded","yfiber","ywt","rhalf","rmisfolded","rfiber","rwt"
"64",0.947955056179775,0.965924242424242,0.969924757281553,0.978116438356164,1,0,0,1,0,0,0,0,0,0,"Stress-related",0,"MSN4",178,66,412,146,108.742724719101,275.281166666667,225.682779126214,348.379746575342,5.14608426966292,4.75075757575758,5.94874029126214,6.25197945205479
"65",0.960023696682464,0.976075916230366,0.973917322834646,0.981925925925926,1,0,0,0,0,0,0,0,0,0,"Autophagy",0,"ATG12",211,382,508,108,145.558706161137,311.88680104712,251.454633858268,478.307953703704,5.90555924170616,5.33010994764398,6.53526181102362,4.61890740740741
"66",0.964505154639175,0.97610623556582,0.968130548302872,0.977786324786325,1,0,0,0,1,0,0,0,0,0,"Autophagy",0,"VAC8",97,433,383,117,170.431319587629,310.227399538106,258.378657963446,452.527854700855,57.4025257731959,80.5564942263279,94.4561697127937,44.8678547008547
"67",0.952462121212121,0.96474427480916,0.971625,0.9445,0,0,0,0,1,0,0,0,0,0,"-",1,"NPR2",132,262,288,106,146.243553030303,284.961473282443,245.146770833333,395.300150943396,5.67451515151515,6.52311832061069,5.66387847222222,4.60148113207547
"68",0.948177570093458,0.977680190930788,0.968235741444867,0.969082191780822,0,1,1,1,0,0,0,0,0,0,"Protease",0,"STE24",107,419,526,73,145.109271028037,318.291990453461,216.292965779468,436.851479452055,49.1526635514019,83.0089809069212,78.2489391634981,37.7795342465753
"69",0.962651515151515,0.979437317784257,0.977605633802817,0.975352941176471,0,0,1,0,0,0,0,0,0,0,"-",1,"VMA21",132,343,71,51,147.219060606061,324.719274052478,259.323929577465,507.629196078431,5.06766666666667,6.56123032069971,5.34321126760563,5.65301960784314
"70",0.952869565217391,0.974118072289157,0.970591527987897,0.97734328358209,0,0,0,0,1,0,0,0,0,0,"Protease",0,"ECM14",138,415,661,134,160.427442028985,311.532686746988,249.580555219365,447.76647761194,16.0092608695652,17.0699927710843,19.9628562783661,15.5944701492537
"71",0.954521739130435,0.974872131147541,0.976190775681342,0.976160714285714,0,0,0,0,1,0,0,0,0,0,"Protease",0,"APE1",138,915,477,280,118.00502173913,303.251092896175,267.486006289308,414.024796428571,5.55308695652174,7.22183606557377,8.8183857442348,5.66139642857143
"72",0.941796666666667,0.978536885245902,0.972448186528497,0.979936708860759,0,1,0,0,0,0,0,0,0,0,"Autophagy",0,"ATG32",300,244,772,79,129.573463333333,356.627221311475,236.190169689119,451.233,6.73031333333333,5.08242213114754,5.92388989637306,5.57216455696203
"73",0.953439393939394,0.978702341137124,0.972,0.980093582887701,1,0,0,0,0,0,0,0,0,0,"Autophagy",0,"ATG10",396,897,1540,374,136.140366161616,306.166122630992,229.439488961039,461.200751336898,5.21745202020202,4.79402564102564,4.82981948051948,3.80337967914439
