"","half","misfolded","fiber","wt","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Peroxisome","golgi","lipid droplet","Category","SGA-hit","names","nhalf","nmisfolded","nfiber","nwt","yhalf","ymisfolded","yfiber","ywt","rhalf","rmisfolded","rfiber","rwt"
"1",NA,-0.0741875541903458,0.00957325334417092,0.0177263571846894,1,0,0,0,0,0,0,0,0,0,"Oxidative-stress",1,"GND1",5658,2921,4306,4781,33.6675468363379,36.2839907565902,236.926448211797,528.871513909224,1831.51916348533,1756.20151112633,1735.21972364143,1753.33501547793
"2",0.0503614457831325,NA,0.0798837189296414,0.00143478260869565,0,1,1,0,0,0,0,0,0,1,"Lipid-Related",1,"ERG6",498,603,2203,92,29.1229437751004,31.7341857379768,242.689721289151,557.90297826087,324.310253012048,320.087338308458,297.714264185202,321.638413043478
"3",-0.0750541118,-0.067598621564482,-0.00803644646924829,0.0196776859504132,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"PUB1",750,473,439,484,29.7811466666667,32.135644820296,242.169569476082,548.918386363636,311.546312,313.653247357294,307.842020501139,303.870123966942
"4",-0.0251403763066202,-0.0278952746575342,0.0212837528604119,0.0116419491525424,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"PRE1",574,292,437,472,28.0904041811847,31.4529863013699,225.892535469108,517.979713983051,144.214024390244,150.407715753425,143.747745995423,142.872326271186
"5",-0.0198754679738562,-0.0179428571428571,0.015472885032538,0.0121533149171271,1,0,0,0,0,0,0,0,0,0,"Protease",0,"SDD3",306,455,461,724,27.4035816993464,30.7605318681319,243.879238611714,536.98854281768,52.2287254901961,53.8681208791209,51.6420954446855,50.4583245856354
"6",0.0141365853658537,-0.013126,-0.00677023642241379,-0.000280788177339902,0,0,1,0,0,0,0,0,0,0,"AA-related",1,"BAP2",205,500,464,203,27.0262829268293,29.736834,233.457232758621,573.579275862069,276.925151219512,249.722494,250.693926724138,240.257566502463
"7",NA,-0.0257222222222222,0.0246716417910448,0.0279779874213836,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS1",484,324,268,318,27.5598719008264,30.4113950617284,236.49,547.669408805031,103.262539256198,102.723962962963,97.9357052238806,102.833352201258
"8",-0.00823953789126853,NA,0.00197142857142857,0.00247560975609756,1,0,0,0,0,0,0,0,0,0,"Lipid-Related",1,"PDR17",607,406,280,246,27.3632141680395,29.7294261083744,242.185332142857,546.695780487805,23.952607907743,23.4462044334975,24.6060285714286,25.2174959349593
"9",-0.0543348729792148,-0.0546620234234234,-0.002921875,0.015109243697479,1,0,0,0,0,0,0,0,0,0,"AA-related",0,"ARG4",433,333,448,357,27.6578429561201,32.1787417417417,231.393408482143,548.959218487395,160.248272517321,160.816099099099,157.704611607143,148.158554621849
"10",-0.00237370242214533,-0.0259230769230769,0.00537931034482759,0.01359375,0,1,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS2",289,182,145,96,29.9629307958478,36.442456043956,226.594662068966,526.095135416667,66.2850968858131,73.3569835164835,71.4332275862069,62.8833645833333
"11",-0.0457369371273713,-0.0385309970542636,-0.00723192019950125,0.0154026402640264,1,0,0,1,0,0,0,0,0,0,"Oxygen-growth",1,"SPE2",369,645,802,303,28.0041978319783,30.2526992248062,246.435609725686,595.353465346535,91.3937533875339,90.3731658914729,92.287187032419,95.9249339933993
"12",-0.0221321811764706,-0.0134421444296788,0.00168818167641326,0.00732871396895787,1,0,0,1,0,0,0,0,0,0,"Stress-related",0,"GSY2",1020,2709,1026,1804,28.4689970588235,30.2503403469915,242.350661793372,555.081207317073,37.6708392156863,33.7417822074566,34.743343079922,34.568149113082
"13",NA,NA,0.005602696112238,-0.00178269617706237,1,0,0,0,0,0,0,0,0,0,"Multivesicular-body-sorting",1,"IST1",3915,2751,2958,994,27.566041890166,30.0893798618684,230.446016227181,518.152469818913,9.01291034482759,8.93363904034896,8.959746112238,9.48736921529175
"14",-0.0157784306532663,-0.0214227272727273,0.000156842249778566,0.00367128027681661,1,0,1,0,0,0,0,0,0,0,"Multivesicular-body-sorting",0,"VPS4",199,440,1129,867,28.7977889447236,30.1686136363636,216.763633303809,532.122826989619,43.5418291457286,39.9317409090909,38.7713153232949,41.1283771626298
"15",-0.106739890081301,-0.0590751445086705,0.0128902195608782,0.00835263157894737,0,0,0,0,0,0,0,0,0,0,"Stress-related",1,"TIF3",615,346,501,190,27.7428943089431,30.5394537572254,259.174888223553,539.762673684211,370.958027642276,376.940731213873,400.240053892216,361.636652631579
"16",-0.0718623053727506,-0.0415614617940199,-0.0031530612244898,0.0343529411764706,1,0,0,1,0,0,0,0,0,0,"Chaperone",1,"HCH1",389,301,392,34,27.340470437018,30.384096345515,241.936221938776,590.519264705882,288.901488431877,293.311149501661,287.371816326531,316.004029411765
"17",0.295581632653061,0.225378776754386,0.0186416699029126,0.00271691176470588,0,1,0,0,0,0,0,0,0,0,"Protease",0,"CYM1",98,228,412,272,27.5279489795918,28.8748421052632,241.328769417476,555.679580882353,35.0705102040816,33.865552631579,33.635463592233,36.5566433823529
"18",-0.10145652173913,-0.0299622641509434,0.0159207920792079,0.00876639344262295,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"PRE9",92,53,202,244,27.5665869565217,30.653679245283,241.238311881188,534.283737704918,158.875456521739,164.807339622642,167.361801980198,137.718893442623
