,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,0,0.035294642857143,NA,0.005338278931751,1,0,0,1,0,0,0,Chaperone,HSP104,737,336,NA,674,454.849489823609,79.352494047619,NA,2371.63722403561,572.656261872456,601.369696428571,NA,600.232747774481
2,0.001083056478405,-0.008606240713224,0.195182456140351,0.001641693811075,0,1,0,0,0,0,0,Chaperone,HSP78,602,673,570,614,511.463141196013,73.8358543833581,30.5630473684211,2350.91228013029,189.650272425249,189.051028231798,192.923733333333,190.373258957655
3,0.002103139013453,0.005677272727273,0.181288995510662,-2.20306513409961E-05,0,1,0,0,0,0,0,Chaperone,MCX1,446,880,891,1044,491.418147982063,75.774475,30.7051919191919,2339.22857183908,39.0798677130045,39.3930715909091,38.8393512906846,42.0158438697318
4,0.001515603799186,-0.00267332123412,-0.067281374534884,0.00545034965035,0,0,0,1,0,0,0,DNA-related,RVB1,737,551,860,715,501.834563093623,75.9729274047187,29.2886174418605,2275.89331328671,247.190640434193,249.920482758621,247.125981395349,246.916620979021
5,7.7639751552795E-05,0.002760442260442,-0.063271603667954,0.008007007007007,0,0,0,1,0,0,0,DNA-related,RVB2,644,814,518,999,486.169315217391,74.2988390663391,28.2464420849421,2338.8097037037,188.501610248447,191.403867321867,190.338409266409,198.009588588589
6,-0.000284518828452,0.011375668449198,-0.004806038927739,-0.002893274853801,0,0,1,0,0,0,0,Chaperone,CNE1,717,748,858,684,492.04659553696,73.8988930481283,30.0625104895105,2390.63836549708,13.7490669456067,12.4664639037433,14.375358974359,17.4093581871345
7,0,-0.00435214691358,-0.063697644797297,0.001183544303797,0,0,0,0,0,1,0,Chaperone,TCP1,534,810,888,790,487.789024344569,74.4167518518519,31.1808051801802,2324.34843544304,244.380724719101,255.682969135802,240.045272522523,243.258105063291
8,0,0.020137576390465,-0.017095469367647,-0.000261811023622,1,0,0,0,0,0,0,Chaperone,CCT2,781,881,680,508,504.845588988476,75.8102485811578,29.8491455882353,2421.81283267717,9.49482842509603,13.4879886492622,11.0856147058824,13.7241318897638
9,-0.000424010217114,-0.002892229503916,-0.053357877132701,0.00010625,1,0,0,0,0,0,0,Chaperone,CCT3,783,766,844,480,497.310154533844,69.1561736292428,28.519481042654,2308.01313125,61.0005925925926,55.0613798955614,55.4296883886256,57.36289375
10,-0.002317204301075,-0.011030837004405,-0.050530973451327,0.006292307692308,1,0,0,0,0,0,0,Chaperone,CCT4,186,227,226,195,333.748456989247,61.2367665198238,36.842889380531,1599.28970769231,133.112580645161,150.987281938326,153.534190265487,143.441630769231
11,0.001346869712352,-0.003472878998609,-0.072613807279694,0.003420289855072,1,0,0,0,0,0,0,Chaperone,CCT5,591,719,522,414,475.324685279188,69.762966620306,27.7730957854406,2262.62947101449,210.882874788494,221.217966620306,210.307651340996,212.54084057971
12,-0.000274261603376,-4.55815286624199E-05,-0.019919117647059,0,1,0,0,0,0,0,0,Chaperone,CCT6,711,785,544,425,499.570729957806,76.289203821656,29.7929632352941,2386.27766352941,9.45494092827004,10.0516840764331,9.46389522058823,12.2695341176471
13,0,0.028658771679198,0.303780289810771,-0.001102822580645,0,1,0,0,0,0,0,Chaperone,HSP10,649,399,687,496,512.864693374422,78.0946240601504,33.0789170305677,2388.99182056452,919.907426810478,990.917055137845,944.345381368268,1064.20072782258
14,-0.000528942115768,0.017642953020134,-0.019873254564984,0.00057231726283,1,1,0,1,0,0,0,Chaperone,APJ1,501,745,931,643,481.918471057884,73.8684161073825,30.5508442534909,2335.39401866252,19.7319381237525,18.1697959731544,17.5089559613319,19.3745194401244
15,0.000398663697105,0.007534814814815,-0.074391304347826,0.000702664796634,1,0,0,1,0,0,0,Chaperone,CAJ1,449,675,529,713,487.321071269488,75.0763259259259,29.9568960302457,2326.77513043478,129.539830734967,133.018891851852,128.425706994329,133.385868162693
16,0.000485454545455,-0.006842578710645,-0.01580672,-0.001744282744283,0,0,0,1,0,0,0,RNA-related,CWC23,550,667,1150,962,493.241898181818,75.8525247376312,29.0384252173913,2396.07975051975,21.1908145454545,21.4302938530735,21.6258234782609,23.3945717255717
17,0.001787066246057,0.033179484573003,-0.022548977196096,0.007755905511811,1,0,1,0,0,0,1,Peroxisom-related,DJP1,634,726,1127,889,474.265777602524,75.0947878787879,31.9838127772848,2344.65699212598,149.362305993691,149.91008815427,153.096059449867,155.999337457818
18,0,0.020472263868066,-0.032465460526316,0.000386084583902,0,0,1,0,0,0,0,Folding-related,ERJ5,562,667,608,733,490.94237366548,73.0562938530735,29.2422088815789,2404.52013096862,30.4420658362989,31.4980014992504,28.8392286184211,29.6810450204638
19,0,0.047594688941548,-0.018580441728922,-0.000512569832402,0,0,1,0,0,0,0,Chaperone,HLJ1,691,633,937,716,485.75681186686,73.932317535545,31.8916584845251,2294.85668994413,35.0453820549928,31.5595655608215,30.6853116328709,33.3886480446927
20,0,0.001344217687075,0.160182113821138,6.60714285714286E-05,0,1,0,0,0,0,0,Chaperone,JAC1,671,735,615,560,511.116822652757,76.3937088435374,29.2342422764228,2411.22855535714,20.8132101341282,21.6341278911565,20.7577739837398,23.0711892857143
21,0,-0.000379564634146,-0.030014517162698,-4.09836065573771E-06,0,0,1,0,0,0,0,Chaperone,JEM1,607,492,1008,732,503.499406919275,74.0101504065041,30.3532470238095,2375.69868442623,41.131373970346,39.2218231707317,44.0733025793651,45.6675942622951
