,1pok-fiber,1pok-misfolded,YFP,Empty,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,n1pok-fiber,n1pok-misfolded,nYFP,nEmpty,y1pok-fiber,y1pok-misfolded,yYFP,yEmpty,r1pok-fiber,r1pok-misfolded,rYFP,rEmpty
18,-0.011729044834308,0.000266787658802,0.008068313953488,-0.005540979886148,0,0,1,0,0,0,0,Folding-related,ERJ5,513,551,688,527,472.710481481482,367.877470054446,2310.96161773256,33.2390170777989,33.3326237816764,29.1000598911071,27.7113372093023,29.4963491461101
19,-0.002470414201183,0.01071349862259,0.00350406504065,-0.000150419390582,0,0,1,0,0,0,0,Chaperone,HLJ1,676,726,738,722,528.017063609467,364.76061707989,2357.26688075881,36.8224626038781,35.9815680473373,36.8343539944904,34.6295040650406,34.7362229916898
20,-0.024279158699809,0.000360303413401,0.003041420118343,0.168374545454545,0,1,0,0,0,0,0,Chaperone,JAC1,523,791,507,550,532.409053537285,367.999219974716,2414.92648717949,32.7669490909091,23.9867323135755,22.236412136536,22.0866153846154,21.8756890909091
21,-0.00505304518664,0.005262830482115,0.006349304482226,-0.008570194384449,0,0,1,0,0,0,0,Chaperone,JEM1,509,643,647,463,509.085088408644,368.297150855365,2363.50084544049,33.558777537797,44.1794440078585,43.1825474339036,44.5395363214838,43.1444557235421
22,-0.009332805071315,0.005076794657763,0.000497576736672,0.143392361111111,0,1,0,0,0,0,0,Chaperone,JID1,631,599,619,576,507.589190174326,355.208430717863,2452.71324071082,36.6447361111111,21.4711743264659,18.0114357262104,23.0202277867528,20.4497760416667
23,-0.008033333333333,0.002982182628062,0.005413043478261,0.023895104895105,1,1,0,0,0,0,0,Chaperone,JJJ1,420,449,552,429,478.723457142857,359.964623608018,2319.24629710145,30.9131142191142,26.340030952381,21.031131403118,26.4750742753623,20.0433962703963
24,0.014864372469636,0.000851574212894,-0.000102766798419,0.0088515625,1,0,0,1,0,0,0,Chaperone,JJJ2,494,667,506,512,499.328295546559,378.948499250375,2301.11915612648,34.95810546875,16.2262874493927,15.3902833583208,17.635895256917,14.7257578125
25,0.051554901960784,0.00566384180791,NA,NA,1,0,0,1,0,0,0,Chaperone,JJJ3,510,354,NA,NA,459.835692156863,303.560285310734,NA,NA,46.4977254901961,42.012686440678,NA,NA
26,-0.021238410596027,0.004614130434783,NA,NA,0,1,0,0,0,0,0,Chaperone,MDJ1,302,368,NA,NA,398.494052980132,321.746008152174,NA,NA,165.717665562914,175.895902173913,NA,NA
27,-0.003344387755102,0.009120643431635,NA,NA,0,1,0,0,0,0,0,Chaperone,MDJ2,392,373,NA,NA,477.587959183673,305.005434316354,NA,NA,19.7762423469388,18.6886166219839,NA,NA
28,-0.019285067220544,0.009258426966292,NA,NA,0,0,1,0,0,0,0,Chaperone,SCJ1,662,445,NA,NA,484.515435045317,358.433114606742,NA,NA,138.032678247734,135.202321348315,NA,NA
29,-0.000421052631579,0.009011029411765,NA,NA,0,1,1,0,0,0,0,Chaperone,SEC63,38,272,NA,NA,488.422052631579,360.416911764706,NA,NA,120.626289473684,90.9186801470588,NA,NA
30,0.090988549618321,0.012891986062718,-0.001132,0.018032374100719,1,0,0,1,0,0,0,Chaperone,SIS1,524,574,250,556,482.664551526718,351.987,2329.710024,35.7461510791367,542.433874045802,578.546296167247,396.443444,555.511174460432
31,-0.021316998468606,0.006372197309417,0.007816104461371,0.012399571644613,1,0,0,0,0,0,0,,SWA2,653,446,919,529,494.616707503828,354.68399103139,2321.7315734494,35.4763043478261,53.1950796324655,43.8952668161435,53.7305832426551,47.9321285444234
32,-0.034091666666667,0.008055555555556,0.003574850299401,0.156293706293706,0,1,0,0,0,0,0,,TIM14,120,144,167,143,421.718183333333,267.75125,1972.19480239521,44.0292447552448,200.80645,185.246229166667,192.875431137725,184.653874125874
33,0.01406138548124,0.005080736543909,0.002839933993399,0.14830629092437,0,1,0,1,0,0,0,Chaperone,XDJ1,613,706,606,595,540.620962479608,380.092980169972,2352.51105445545,36.439781512605,31.5913556280587,32.9225637393768,31.832897689769,34.9299630252101
34,0.069754750762195,0.022394927536232,0.002491525423729,-0.003946601941748,1,0,0,0,0,0,0,Chaperone,YDJ1,656,276,767,412,546.338774390244,367.475039855072,2443.98637809648,36.1517257281553,1235.3094070122,1228.69260869565,1158.44726205997,1183.06666019417
35,-0.044972386587771,0.014504347826087,0.006105769230769,0.027933862433862,1,1,0,1,0,0,0,Chaperone,ZUO1,507,460,520,378,508.694597633136,379.963334782609,2347.76401538462,37.4203492063492,707.344678500986,707.767995652174,651.527294230769,686.477005291005
36,-0.000942062305141,0.001310495626822,0.0008096,0.005614902741935,0,1,0,0,0,0,0,Chaperone,HSP60,603,686,625,620,506.419333333333,364.22294606414,2409.1406752,34.6136387096774,13.9948988391376,11.4966268221574,13.4194864,9.77367096774194
37,NA,NA,0.004730769230769,-0.015007727975271,0,0,1,0,0,0,0,Chaperone,KAR2,NA,NA,624,647,NA,NA,2176.01105448718,35.9211777434312,NA,NA,1154.61575,1166.64161205564
38,NA,NA,-0.000221789883268,0.000461891650485,0,0,1,0,0,0,0,Chaperone,LHS1,NA,NA,514,515,NA,NA,2101.03322178988,30.7811339805825,NA,NA,25.7430389105058,24.0436097087379
39,NA,NA,0.010126038781163,0.021081996434938,1,0,0,1,1,0,0,Chaperone,SSA1,NA,NA,722,561,NA,NA,2346.59970360111,41.6452638146168,NA,NA,1750.69383379501,2168.3746969697
40,NA,NA,0.011869509043928,0.004157286914063,1,1,0,0,0,1,0,Chaperone,SSA2,NA,NA,774,512,NA,NA,2294.96794186047,55.727978515625,NA,NA,5978.55769509044,6958.2853984375
41,NA,NA,0.003241312741313,0.007824394334278,1,0,0,0,0,0,0,Chaperone,SSA3,NA,NA,518,353,NA,NA,2148.40194208494,36.8449036827195,NA,NA,24.2677818532819,23.6410509915014
42,NA,NA,0.002615969581749,0.022251923076923,1,0,0,1,0,0,0,Chaperone,SSA4,NA,NA,789,520,NA,NA,2274.33443726236,34.4257884615385,NA,NA,139.34266539924,136.177803846154
43,NA,NA,0.007586762075134,0.015662698412698,1,0,0,0,0,1,0,Chaperone,SSB1,NA,NA,559,504,NA,NA,2295.3441216458,47.3775416666667,NA,NA,2938.51872808587,3344.17868849206
