,wt,fiber,half,1pok-fiber2,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n1pok-fiber2,ywt,yfiber,yhalf,y1pok-fiber2,rwt,rfiber,rhalf,r1pok-fiber2
1,0.622734715685325,0.473320575253639,0.127446169432278,0.258118363921357,1,0,0,1,0,0,0,Chaperone,HSP104,6,33,101,586,577.903166666667,118.903272727273,36.2486831683168,453.189259385666,1086.49716666667,1100.78975757576,787.950346534653,853.424310580205
2,0,0.373036375397359,0.634477815364604,0.064166163750298,0,1,0,0,0,0,0,Chaperone,HSP78,1,55,232,495,475.288,80.6387090909091,38.5607068965517,441.581775757576,340.511,292.602763636364,265.338168103448,224.545688888889
3,0.038792376454714,0.286561431872866,0.593872471387443,0.064538792334742,0,1,0,0,0,0,0,Chaperone,MCX1,5,43,206,438,467.4932,86.4438604651163,34.7061310679612,435.171335616438,75.4756,42.9708837209302,33.1269368932039,36.5878607305936
4,0.710150766296302,0.402006357989158,0.117903125348905,0.280785138991566,0,0,0,1,0,0,0,DNA-related,RVB1,8,59,191,846,573.237125,114.981050847458,34.5120052356021,544.23674822695,298.597375,304.347949152542,234.376586387435,256.806353427896
5,0.384554830658476,0.381987982867006,0.11576808415202,0.312750702521148,0,0,0,1,0,0,0,DNA-related,RVB2,6,68,212,581,588.403333333333,100.780676470588,34.0088018867925,496.461623063683,201.639,241.180161764706,188.35366509434,209.119753872633
6,0.388989743828454,0.121409569036056,0.121783407390892,0.134101246880251,0,0,1,0,0,0,0,Chaperone,CNE1,3,60,211,717,557.416666666667,92.6970166666667,35.7607156398104,552.423175732218,100.335,15.4347,10.456327014218,12.1545536959554
7,0.213987413147077,0.085022720285456,0.067662501788479,0.144938160327925,0,0,0,0,0,1,0,Chaperone,TCP1,6,80,166,588,353.195833333333,94.1865875,37.3046024096386,444.00006122449,337.220666666667,298.0628625,254.906192771084,260.740119047619
8,0.033840947546531,0.10079727391273,0.127268619003589,0.123388932785654,1,0,0,0,0,0,0,Chaperone,CCT2,3,85,161,494,578.118333333333,110.679,37.4322422360248,482.15128340081,4.66066666666667,17.3705882352941,5.88703105590062,8.67453441295546
9,0.268187963501503,0.139445993948942,0.068275897096391,0.064469231112786,1,0,0,0,0,0,0,Chaperone,CCT3,10,60,277,650,473.8978,115.786733333333,36.661238267148,457.0162,89.4444,64.5756166666667,54.2937725631769,59.6704753846154
10,0.222483853098288,0.08339760686671,0.045221401587199,0.190971365185902,1,0,0,0,0,0,0,Chaperone,CCT4,6,28,71,144,225.863166666667,79.7689642857143,38.0499577464789,304.541972222222,169.408166666667,184.413464285714,137.99923943662,156.367263888889
11,0.061430325245486,0.07092424641348,0.059639410341003,0.164764966245902,1,0,0,0,0,0,0,Chaperone,CCT5,6,41,237,432,536.144333333333,100.494487804878,37.0541265822785,504.423627314815,209.520666666667,277.005853658537,218.44829535865,219.447185185185
12,0.174600258706761,0.112423888430419,0.117226988434258,0.123651885099258,1,0,0,0,0,0,0,Chaperone,CCT6,6,78,155,654,410.313333333333,109.758564102564,37.397664516129,461.804805810398,7.3625,15.9398076923077,5.8475935483871,12.8854892966361
13,0.06102032264823,0.536387709781119,0.628683659687465,0.073348661663498,0,1,0,0,0,0,0,Chaperone,HSP10,4,56,319,537,504.903,77.9512678571429,43.7310752351097,479.192517690875,1284.80925,1293.76378571429,1077.80949529781,1048.82469273743
14,0.677345541909822,0.394763777027556,0.073014070432154,0.296937603572796,1,1,0,1,0,0,0,Chaperone,APJ1,3,53,145,663,643.674666666667,110.848735849057,33.4466827586207,473.469055806938,37.17,25.0721886792453,10.2127379310345,17.1603453996983
15,0.286709814209814,0.312462884642443,0.077209049062701,0.280319502458358,1,0,0,1,0,0,0,Chaperone,CAJ1,7,54,191,753,428.197428571429,109.680907407407,34.885554973822,454.181442231076,172.166285714286,152.857444444444,130.261287958115,139.011544488712
16,0.403207492738723,0.414341651139881,0.056198378790871,0.282112598725918,0,0,0,1,0,0,0,RNA-related,CWC23,6,36,246,780,442.389333333333,112.917472222222,34.5022601626016,533.686988461538,42.2713333333333,34.1196111111111,16.5762235772358,19.4355448717949
17,0.299932148788331,0.219327144053438,0.181774670130296,0.136422638777803,1,0,1,0,0,0,1,Peroxisom-related,DJP1,9,113,209,692,456.945111111111,100.647663716814,32.8387081339713,477.802226878613,195.410777777778,152.789973451327,129.732129186603,137.972803468208
18,0.052903365592951,0.175241807232673,0.121477427539571,0.090014502637171,0,0,1,0,0,0,0,Folding-related,ERJ5,6,28,231,659,526.107666666667,100.0945,34.5762121212121,444.003696509863,29.663,50.2106428571429,24.5677272727273,27.6906813353566
19,0.253952221732246,0.280825508604214,0.153061072375172,0.122120697660783,0,0,1,0,0,0,0,Chaperone,HLJ1,7,73,236,801,399.570714285714,105.38295890411,35.9391101694915,463.776323345818,60.7554285714286,49.4841506849315,30.4099194915254,37.9238626716604
20,0.120341722732091,0.25566951024244,0.644110204293916,0.078829043568543,0,1,0,0,0,0,0,Chaperone,JAC1,6,80,199,662,572.329833333333,100.334575,36.4626934673367,468.087622356495,61.6421666666667,27.0941875,16.6583819095477,17.3717447129909
21,0.178356799450549,0.13776858560595,0.157142166156758,0.085282056102187,0,0,1,0,0,0,0,Chaperone,JEM1,2,44,204,629,292.51,104.361477272727,36.933612745098,477.863054054054,44.793,51.7803181818182,40.7760294117647,43.6217249602544
