,1pok-fiber,1pok-misfolded,YFP,Empty,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,n1pok-fiber,n1pok-misfolded,nYFP,nEmpty,y1pok-fiber,y1pok-misfolded,yYFP,yEmpty,r1pok-fiber,r1pok-misfolded,rYFP,rEmpty
1,1070.3349112426,1136.0546875,1021.21804511278,1068.07894736842,1,0,0,1,0,0,0,Chaperone,HSP104,845,512,1064,722,481.089701775148,384.613921875,2501.16793515038,35.102228531856,589.906480473373,637.950693359375,546.866193609023,583.796728531856
2,2136.82816537468,2026.9595959596,2221.76014492754,2083.53403141361,0,1,0,0,0,0,0,Chaperone,HSP78,774,693,1380,1146,544.585550387597,387.541523809524,2471.32550797101,33.4084581151832,191.926658914729,181.809304473304,212.098757246377,196.30822600349
3,366.81494057725,361.657057654076,344.076292042658,362.084702907712,0,1,0,0,0,0,0,Chaperone,MCX1,589,1006,1219,791,520.471473684211,362.800317097416,2460.45440689089,32.3481428571429,37.4063361629881,38.566810139165,38.5190508613618,37.9076384323641
4,1566.71976744186,1509.75219941349,1478.38282899367,1481.79406130268,0,0,0,1,0,0,0,DNA-related,RVB1,860,682,1421,1044,544.04473372093,392.29508797654,2456.85027375088,31.2684377394636,257.336726744186,248.013944281525,237.650313863476,249.057477969349
5,952.336302895323,956.855010660981,922.071428571429,990.933139534884,0,0,0,1,0,0,0,DNA-related,RVB2,898,938,1274,1032,521.086954342984,380.227813432836,2518.07281397174,32.495234496124,190.554094654788,192.863789978678,180.961798273155,197.642391472868
6,41.3947368421053,41.9941037735849,39.9738878143133,43.7970765262253,0,0,1,0,0,0,0,Chaperone,CNE1,760,848,1034,1163,519.259742105263,389.815489386792,2508.11027079304,32.9835872742906,10.5612578947368,10.5352912735849,11.558169245648,12.0724978503869
7,482.542735042735,462.273752012882,467.547263681592,473.109090909091,0,0,0,0,0,1,0,Chaperone,TCP1,1170,621,804,770,547.558895726496,372.445246376812,2515.17872885572,30.4877883116883,255.227470940171,242.072911433172,227.760565920398,241.663098701299
8,39.9464882943144,39.8836565096953,42.4375715922108,37.183908045977,1,0,0,0,0,0,0,Chaperone,CCT2,897,722,873,957,534.254694537347,340.103743767313,2452.10075715922,30.7148578892372,9.40034448160535,10.3877243767313,11.969264604811,8.2420303030303
9,127.646699266504,114.26254180602,118.321428571429,125.540018399264,1,0,0,0,0,0,0,Chaperone,CCT3,818,1196,1204,1087,499.650023227384,349.601122909699,2375.33992857143,30.2940386384545,61.109760391198,52.9027516722408,56.1151935215947,59.0145768169273
10,252.092071611253,240.290076335878,235.452127659574,241.668224299065,1,0,0,0,0,0,0,Chaperone,CCT4,391,262,376,214,406.229884910486,273.878125954198,1616.17044946809,33.883238317757,151.00552685422,146.753290076336,142.329930851064,147.549182242991
11,347.555793991416,343.755693581781,329.955195424214,351.391812865497,1,0,0,0,0,0,0,Chaperone,CCT5,932,966,1049,855,469.266089055794,345.17300310559,2292.7141448999,27.6802748538012,213.697736051502,210.980582815735,204.404845567207,214.431270175439
12,39.3279742765273,41.7940991839297,37.0926157697121,38.7519142419602,1,0,0,0,0,0,0,Chaperone,CCT6,933,1593,799,653,508.18454340836,359.4931217828,2411.78151439299,31.2267396630934,9.01828617363344,8.60029817953547,8.6898648310388,7.34158039816233
13,10893.3784378438,9156.83946488294,9933.08368200837,10119.7767767768,0,1,0,0,0,0,0,Chaperone,HSP10,909,598,956,999,539.355426842684,400.28906187291,2470.43579707113,35.6197577577578,1094.25500990099,950.115284280936,973.07394665272,1017.57606806807
14,60.5868465430017,59.3097222222222,58.8046296296296,64.4533947065593,1,1,0,1,0,0,0,Chaperone,APJ1,593,720,1080,869,510.841143338954,369.960052777778,2473.57711944444,31.7275166858458,13.9167740303541,13.8061611111111,15.6745546296296,15.9528170310702
15,199.9780521262,196.500550055006,188.382456140351,197.84036939314,1,0,0,1,0,0,0,Chaperone,CAJ1,729,909,855,758,522.67477914952,363.71903410341,2413.69196725146,31.9257875989446,137.861639231824,134.972556655666,130.221791812865,135.466150395778
16,83.0383877159309,80.4463276836158,88.0450849963045,80.7220657276995,0,0,0,1,0,0,0,RNA-related,CWC23,1042,885,1353,1065,515.587553742802,380.165333333333,2447.8843045085,32.1861615023474,19.923443378119,18.8068983050847,22.9559733924612,20.0288901408451
17,259.895863052782,264.917218543046,248.712722298222,242.986937590711,1,0,1,0,0,0,1,Peroxisom-related,DJP1,701,604,731,689,475.85947360913,339.524271523179,2345.20716552668,27.9191407837446,146.320483594864,147.339132450331,137.899002735978,136.760094339623
18,92.6064659977703,87.8820754716981,90.8719576719577,87.1272264631043,0,0,1,0,0,0,0,Folding-related,ERJ5,897,848,945,786,529.534313266444,378.445676886792,2463.18764021164,30.1583027989822,27.3917157190635,24.490233490566,26.2046772486772,25.221510178117
19,79.6854043392505,80.6010638297872,78.3965863453815,82.127640036731,0,0,1,0,0,0,0,Chaperone,HLJ1,1014,1128,996,1089,548.12476035503,370.222328014184,2435.01498493976,33.3586106519743,30.3074773175542,30.545469858156,29.655515060241,30.0536831955923
20,129.914032869785,135.457196613358,123.784992784993,134.504109589041,0,1,0,0,0,0,0,Chaperone,JAC1,791,1063,693,730,548.935173198483,375.520758231421,2528.45156565657,30.6631767123288,19.4105689001264,19.2073565380997,18.6577604617605,18.1903260273973
