"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0.993,0.9899,0.981228571428571,0.97425,1,0,0,1,0,0,0,"Chaperone","HSP104",1,60,105,24,665.864,644.45875,457.556914285714,273.093166666667,190.912,888.316433333333,884.07879047619,713.503416666667
"2",NA,0.987602150537634,0.977769230769231,0.985285714285714,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,93,65,14,NA,638.51364516129,528.933707692308,507.677642857143,NA,310.466634408602,307.487184615385,352.982142857143
"3",NA,0.987915887850467,0.982744444444444,0.961142857142857,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,107,90,21,NA,645.746682242991,485.584611111111,439.480904761905,NA,52.1809158878505,54.1674,54.5759047619048
"4",NA,0.988835294117647,0.984264150943396,0.969428571428571,0,0,0,1,0,0,0,"DNA-related","RVB1",NA,85,106,35,NA,679.123917647059,491.461235849057,266.093828571429,NA,338.915941176471,339.341660377358,248.963571428571
"5",NA,0.988305882352941,0.974798319327731,0.965037037037037,0,0,0,1,0,0,0,"DNA-related","RVB2",NA,85,119,27,NA,600.265164705882,447.252260504202,298.895518518519,NA,249.287776470588,240.813033613445,188.228074074074
"6",NA,0.98875,0.98238255033557,0.980631578947368,0,0,1,0,0,0,0,"Chaperone","CNE1",NA,60,149,19,NA,775.627933333333,458.885825503356,343.428210526316,NA,23.11385,34.2832013422819,27.4639473684211
"7",NA,0.9877,0.982867346938776,0.980529411764706,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,90,98,17,NA,658.808077777778,486.50656122449,514.235176470588,NA,397.479444444444,457.166081632653,445.799
"8",0.994,0.987130081300813,0.983496894409938,0.983066666666667,1,0,0,0,0,0,0,"Chaperone","CCT2",1,123,161,30,2899.85,637.004723577236,448.824453416149,438.3771,17.977,23.1457073170732,30.406248447205,43.8548333333333
"9",NA,0.989380208333333,0.98421875,0.98395652173913,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,192,96,23,NA,605.921838541667,477.713,435.510130434783,NA,68.165859375,90.37903125,123.37747826087
"10",NA,0.981862745098039,0.978966666666667,0.983111111111111,1,0,0,0,0,0,0,"Chaperone","CCT4",NA,51,30,9,NA,383.523,319.897233333333,365.173444444444,NA,230.392117647059,266.217833333333,310.154111111111
"11",0.989,0.989386138613861,0.986675675675676,0.9817,1,0,0,0,0,0,0,"Chaperone","CCT5",1,101,74,20,2472.594,683.453257425743,568.758756756757,566.3771,431.22,302.111485148515,361.992837837838,386.8547
"12",NA,0.989302857142857,0.9894,0.978842105263158,1,0,0,0,0,0,0,"Chaperone","CCT6",NA,175,65,19,NA,599.508497142857,571.960538461538,361.583578947368,NA,37.3329714285714,29.4184461538462,47.3963684210526
"13",NA,0.987275362318841,0.982,0.9797,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,69,59,20,NA,682.855173913043,493.196559322034,442.0765,NA,1373.03043478261,1194.5233220339,1282.9629
"14",NA,0.988761194029851,0.987659090909091,0.96344,1,1,0,1,0,0,0,"Chaperone","APJ1",NA,67,44,25,NA,631.311253731343,537.783159090909,374.2596,NA,37.2364925373134,48.7831590909091,39.87716
"15",0.994,0.988660377358491,0.970906666666667,0.952947368421053,1,0,0,1,0,0,0,"Chaperone","CAJ1",1,106,75,19,3355.139,635.762641509434,444.423453333333,325.110526315789,219.809,167.793641509434,166.046506666667,167.354263157895
"16",NA,0.985460674157303,0.980572727272727,0.96825,0,0,0,1,0,0,0,"RNA-related","CWC23",NA,89,110,28,NA,714.01908988764,410.273572727273,295.353142857143,NA,40.1771573033708,40.1117454545455,19.7119285714286
"17",0.955333333333333,0.988547058823529,0.982909090909091,0.970609756097561,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",3,170,143,41,581.455,599.333558823529,440.572776223776,320.374292682927,86.614,187.865947058824,179.277328671329,165.49356097561
"18",NA,0.988145454545455,0.984714285714286,0.974,0,0,1,0,0,0,0,"Folding-related","ERJ5",NA,110,91,24,NA,609.447590909091,481.829527472528,386.924291666667,NA,44.3059181818182,43.8822197802198,44.31875
"19",NA,0.988436170212766,0.983915492957746,0.969142857142857,0,0,1,0,0,0,0,"Chaperone","HLJ1",NA,94,71,21,NA,552.602957446809,437.442394366197,407.349047619048,NA,54.5591808510638,61.5511690140845,78.1574285714286
"20",NA,0.988180327868852,0.983011363636364,0.986,0,1,0,0,0,0,0,"Chaperone","JAC1",NA,61,88,7,NA,641.567557377049,477.189340909091,649.977,NA,27.6710163934426,48.0715340909091,41.7201428571429
"21",NA,0.988027027027027,0.985134146341463,0.953294117647059,0,0,1,0,0,0,0,"Chaperone","JEM1",NA,74,82,17,NA,619.877567567568,469.933646341463,451.324529411765,NA,59.1459594594595,63.6450853658537,80.2191764705882
"22",NA,0.987371621621622,0.986051948051948,0.983916666666667,0,1,0,0,0,0,0,"Chaperone","JID1",NA,148,77,24,NA,629.623932432432,486.351194805195,479.717916666667,NA,36.9174932432432,35.3145584415584,39.5628333333333
"23",NA,0.987705882352941,0.986978947368421,0.985277777777778,1,1,0,0,0,0,0,"Chaperone","JJJ1",NA,119,95,18,NA,575.667605042017,458.619557894737,534.703222222222,NA,32.8955798319328,39.0818947368421,45.6917777777778
"24",NA,0.98927,0.985222222222222,0.981157894736842,1,0,0,1,0,0,0,"Chaperone","JJJ2",NA,200,63,19,NA,592.97662,510.723984126984,445.603052631579,NA,33.662945,33.1806507936508,51.8551052631579
"25",0.995,0.989379310344828,0.984674418604651,0.977625,1,0,0,1,0,0,0,"Chaperone","JJJ3",1,58,43,16,1315.247,702.599603448276,425.957534883721,369.525625,44.139,54.0368793103448,66.9193023255814,78.99025
"26",NA,0.987186666666667,0.976469696969697,0.9818,0,1,0,0,0,0,0,"Chaperone","MDJ1",NA,75,66,5,NA,650.006706666667,400.442893939394,472.3194,NA,230.085333333333,255.992984848485,277.3308
"27",NA,0.989148648648649,0.981983050847458,0.9515,0,1,0,0,0,0,0,"Chaperone","MDJ2",NA,74,59,22,NA,604.51145945946,446.995966101695,276.976818181818,NA,24.6743783783784,31.6056271186441,30.6510454545455
"28",NA,0.987684210526316,0.977417721518987,0.977862068965517,0,0,1,0,0,0,0,"Chaperone","SCJ1",NA,76,79,29,NA,635.696578947368,360.730481012658,268.436034482759,NA,157.359947368421,149.658278481013,128.466068965517
"29",0.991,0.985173913043478,0.980875,0.968166666666667,0,1,1,0,0,0,0,"Chaperone","SEC63",1,23,8,6,1987.512,545.324173913044,357.572625,165.365166666667,228.104,111.043130434783,85.29,132.835333333333
"30",NA,0.987266666666667,0.984942148760331,0.98072972972973,1,0,0,1,0,0,0,"Chaperone","SIS1",NA,195,121,37,NA,676.616487179487,521.997157024793,446.403972972973,NA,821.408764102564,881.269669421488,983.247162162162
"31",0.982,0.987511627906977,0.982569230769231,0.980035714285714,1,0,0,0,0,0,0,"","SWA2",1,129,130,28,157.604,633.503550387597,428.509238461538,442.966035714286,36.022,66.2848837209302,70.5354923076923,76.1091428571429
"32",0.9965,0.990510204081633,0.981210526315789,0.98145,0,1,0,0,0,0,0,"","TIM14",2,49,38,20,1743.0255,721.562408163265,624.271552631579,490.90265,123.4645,328.111714285714,332.792263157895,291.7064
"33",0.985,0.987975409836066,0.983474358974359,0.9843,0,1,0,1,0,0,0,"Chaperone","XDJ1",1,122,78,10,2779.648,582.660803278688,481.773435897436,538.4511,44.343,44.7833032786885,60.5783333333333,43.2997
"34",0.986,0.988823008849558,0.983907407407407,0.983870967741935,1,0,0,0,0,0,0,"Chaperone","YDJ1",2,113,108,31,987.5545,603.419716814159,514.772657407407,489.445677419355,1188.5935,1619.50472566372,1698.03487037037,1925.58583870968
"35",0.994,0.986648148148148,0.983013888888889,0.98725,1,1,0,1,0,0,0,"Chaperone","ZUO1",1,108,72,16,2335.251,598.153916666667,464.559888888889,531.711375,965.414,892.103287037037,853.650888888889,1056.9095625
"36",0.601,0.989643410852713,0.98994,0.983911764705882,0,1,0,0,0,0,0,"Chaperone","HSP60",1,129,50,34,3.674,764.285387596899,596.95004,464.501647058824,4.838,9.81772093023256,19.76762,16.2930882352941
"37",0.995,0.986169491525424,0.98162962962963,0.9765,0,0,1,0,0,0,0,"Chaperone","KAR2",1,59,54,16,1773.247,569.738762711864,441.830185185185,387.6575,850.092,1557.29766101695,1376.31292592593,1352.2606875
"38",NA,0.987551724137931,0.985039473684211,0.987923076923077,0,0,1,0,0,0,0,"Chaperone","LHS1",NA,58,76,13,NA,586.633655172414,431.046263157895,311.031384615385,NA,34.2804827586207,44.7326184210526,37.6256923076923
"39",NA,0.990138888888889,0.981902777777778,0.9731,1,0,0,1,1,0,0,"Chaperone","SSA1",NA,72,72,20,NA,679.849625,438.434291666667,319.4722,NA,4353.34606944444,3923.01347222222,3982.44705
"40",NA,0.988322222222222,0.979238095238095,0.972285714285714,1,1,0,0,0,1,0,"Chaperone","SSA2",NA,90,84,28,NA,742.902233333333,435.075333333333,348.028464285714,NA,13399.9245,12140.8653571429,11242.1356785714
"41",0.947666666666667,0.986716216216216,0.978175572519084,0.973958333333333,1,0,0,0,0,0,0,"Chaperone","SSA3",3,74,131,24,838.836,519.571135135135,396.131770992366,297.9795,53.6266666666667,45.1771756756757,66.9758167938931,52.0847083333333
"42",NA,0.98764367816092,0.984413043478261,0.977739130434783,1,0,0,1,0,0,0,"Chaperone","SSA4",NA,87,138,23,NA,608.805356321839,436.218246376812,312.326434782609,NA,226.326666666667,227.425833333333,212.384608695652
"43",0.990333333333333,0.983141025641026,0.982984,0.9835,1,0,0,0,0,1,0,"Chaperone","SSB1",3,78,125,24,1179.44133333333,604.732307692308,458.728848,510.65775,2115.80966666667,3920.27870512821,3866.362504,5004.04404166667
