,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.003480885311871,0.033322709163347,-0.056914855033557,NA,1,0,0,1,0,0,0,Chaperone,HSP104,497,251,447,NA,192.195881287726,92.8160916334661,32.0988478747204,NA,626.250655935614,610.956884462151,577.313288590604,NA
2,0.007770588235294,-0.004523659305994,0.197359714420804,NA,0,1,0,0,0,0,0,Chaperone,HSP78,340,317,423,NA,199.027120588235,97.0979022082019,32.9517848699764,NA,218.26775,211.890712933754,226.14946572104,NA
3,0.003957345971564,0.001367758186398,0.15381870358209,NA,0,1,0,0,0,0,0,Chaperone,MCX1,422,397,335,NA,181.166767772512,88.3063047858942,31.4704268656716,NA,39.7637014218009,39.9571108312343,42.5369223880597,NA
4,0.004409502262443,-0.006362725450902,-0.069489919949495,NA,0,0,0,1,0,0,0,DNA-related,RVB1,442,499,396,NA,195.529375565611,89.0716713426854,31.505648989899,NA,254.395624434389,247.796148296593,267.286833333333,NA
5,0.004203904555315,-0.006451282051282,-0.067633385185185,NA,0,0,0,1,0,0,0,DNA-related,RVB2,461,585,621,NA,197.68367462039,88.4774598290598,29.9121288244766,NA,195.744468546638,197.218974358974,200.830297906602,NA
6,0.002109126984127,0.018748587570622,-0.009961490149254,NA,0,0,1,0,0,0,0,Chaperone,CNE1,504,354,670,NA,191.744380952381,91.6366242937853,30.214647761194,NA,14.6202321428571,15.4413389830508,14.2181641791045,NA
7,0.000794582392777,-0.00532619047619,-0.073725961538462,NA,0,0,0,0,0,1,0,Chaperone,TCP1,443,420,416,NA,165.585304740406,87.0194619047619,31.8417884615385,NA,265.873699774266,262.471266666667,267.738009615385,NA
8,0.00070796460177,0.024785923753666,-0.012469512195122,NA,1,0,0,0,0,0,0,Chaperone,CCT2,452,341,492,NA,172.610878318584,90.7788680351906,31.57375,NA,11.1679557522124,11.9207478005865,11.2114268292683,NA
9,-0.00014684287812,0.008687050359712,-0.050194711538462,NA,1,0,0,0,0,0,0,Chaperone,CCT3,681,834,416,NA,189.397580029369,89.5844952038369,33.0788269230769,NA,62.3108604992658,55.9243729016787,62.3499158653846,NA
10,-0.0004,0.005804232804233,-0.059152542372881,NA,1,0,0,0,0,0,0,Chaperone,CCT4,185,189,118,NA,97.8110378378378,71.1711957671958,36.6900338983051,NA,140.393394594595,168.931074074074,166.456593220339,NA
