,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,0.964363636363636,0.921985119047619,NA,0.987864985163205,1,0,0,1,0,0,0,Chaperone,HSP104,737,336,NA,674,447.512241519674,75.9181101190476,NA,2348.45208011869,562.502537313433,591.055577380952,NA,590.214410979228
2,0.956446843853821,0.930135215453195,0.941474747474747,0.985181560283688,0,1,0,0,0,0,0,Chaperone,HSP78,602,673,693,705,503.222915282392,70.5929494799406,28.5862496392496,2335.09774609929,184.362993355482,184.164084695394,192.242564213564,183.124144680851
3,0.958733333333333,0.930176136363636,0.934703703703704,0.985613984674329,0,1,0,0,0,0,0,Chaperone,MCX1,570,880,891,1044,481.645333333333,72.3217238636364,28.3003468013468,2313.03344827586,36.3986298245614,36.5908670454545,36.2601627384961,39.0740957854406
4,0.975515603799186,0.912257713248639,0.812977906976744,0.989837762237762,0,0,0,1,0,0,0,DNA-related,RVB1,737,551,860,715,493.544402985075,72.6754156079855,26.939211627907,2250.92270769231,242.552052917232,245.318900181488,242.759837209302,242.48371048951
5,0.970035714285714,0.919933660933661,0.832882239382239,0.990422422422422,0,0,0,1,0,0,0,DNA-related,RVB2,644,814,518,999,478.552169254658,71.033484029484,26.0103571428571,2314.89879479479,184.011588509317,186.877945945946,186.189976833977,193.689299299299
6,0.961076708507671,0.917229946524064,0.87417365967366,0.98628947368421,0,0,1,0,0,0,0,Chaperone,CNE1,717,748,858,684,484.242384937239,70.5833743315508,27.62937995338,2368.85965497076,10.9880641562064,9.91388368983957,11.7779230769231,14.6228187134503
7,0.962874531835206,0.921606172839506,0.884896396396396,0.987208860759494,0,0,0,0,0,1,0,Chaperone,TCP1,534,810,888,790,480.482280898876,71.1147765432099,28.6881092342342,2301.34215189873,238.110765917603,249.123130864198,233.937585585586,236.95284556962
8,0.961449423815621,0.928869466515324,0.876436764705882,0.987061023622047,1,0,0,0,0,0,0,Chaperone,CCT2,781,881,680,508,497.054624839949,72.5407377979569,27.5447955882353,2398.98971456693,7.38685147247119,11.4194086265607,9.24572794117647,11.3118622047244
9,0.967671775223499,0.918674934725849,0.883789099526066,0.988041666666667,1,0,0,0,0,0,0,Chaperone,CCT3,783,766,844,480,489.875546615581,66.0175287206266,26.1681706161137,2286.97843541667,56.6018480204342,50.643682767624,51.1954834123223,53.1946770833333
10,0.943677419354839,0.910735682819383,0.901526548672566,0.983076923076923,1,0,0,0,0,0,0,Chaperone,CCT4,186,227,226,195,328.044548387097,58.4173700440529,34.4207345132743,1583.82548717949,128.424580645161,146.379334801762,148.767694690266,138.827502564103
11,0.965458544839256,0.9208859527121,0.891501915708812,0.986545893719807,1,0,0,0,0,0,0,Chaperone,CCT5,591,719,522,414,467.723524534687,66.5664561891516,25.4173620689655,2238.83609661836,204.971610829103,215.373913769124,204.605651340996,206.774132850242
12,0.963644163150492,0.921367991845056,0.870481617647059,0.986978823529412,1,0,0,0,0,0,0,Chaperone,CCT6,711,981,544,425,492.077732770745,72.6442844036697,27.5192150735294,2364.21555764706,7.61521097046414,8.34742303771662,7.82875735294118,10.0691294117647
13,0.957337442218798,0.954203007518797,0.947079418344519,0.985574596774194,0,1,0,0,0,0,0,Chaperone,HSP10,649,399,894,496,504.913354391371,74.6162330827068,30.2505458612975,2364.75259677419,906.667755007704,976.767714285714,920.355485458613,1049.38760282258
14,0.96899001996008,0.914677852348993,0.85984425349087,0.990125972006221,1,1,0,1,0,0,0,Chaperone,APJ1,501,745,931,643,474.790938123752,70.5071033557047,27.9918485499463,2311.78355209953,17.309996007984,15.8068040268456,15.1247669172932,16.8399611197512
15,0.967770601336303,0.91961037037037,0.877190926275992,0.988835904628331,1,0,0,1,0,0,0,Chaperone,CAJ1,449,675,529,713,479.741302895323,71.7196622222222,27.6111096408318,2302.73454978962,124.40370155902,127.85144,123.515967863894,128.311012622721
16,0.969463636363636,0.916508245877061,0.84612,0.989265072765073,0,0,0,1,0,0,0,RNA-related,CWC23,550,667,1150,962,485.331229090909,72.6083988005997,26.4419373913043,2370.68699480249,18.7384745454545,18.9887436281859,19.2409234782609,20.7558004158004
17,0.963582018927445,0.926528925619835,0.873558118899734,0.986799775028121,1,0,1,0,0,0,1,Peroxisom-related,DJP1,634,726,1127,889,466.938820189274,71.8693347107438,29.553719609583,2322.15792125984,144.310307570978,144.744196969697,147.857809228039,150.978977502812
18,0.960067615658363,0.921371814092954,0.867509868421053,0.987094133697135,0,0,1,0,0,0,0,Folding-related,ERJ5,562,667,608,733,483.785637010676,69.9492668665667,27.0261529605263,2380.69790040928,27.2178558718861,28.2886191904048,25.8331677631579,26.4913888130969
19,0.962975397973951,0.922492890995261,0.881196371398079,0.987777932960894,0,0,1,0,0,0,0,Chaperone,HLJ1,691,633,937,716,478.528409551375,70.7451516587678,29.439318036286,2273.02656564246,31.7412735166425,28.2221800947867,27.4578452508004,30.1895837988827
20,0.962123695976155,0.927605442176871,0.924006631299735,0.988057142857143,0,1,0,0,0,0,0,Chaperone,JAC1,671,735,754,560,503.910761549925,73.3690530612245,27.1295875331565,2388.6636375,18.3255797317437,19.2796571428571,18.755225464191,20.562725
21,0.964803953871499,0.92206132879046,0.880635912698413,0.987872950819672,0,0,1,0,0,0,0,Chaperone,JEM1,607,587,1008,732,496.506642504119,71.0039131175468,27.9414275793651,2352.14618306011,37.6489719934102,36.4550085178876,40.5132658730159,42.1078169398907
