,1pok-fiber,1pok-misfolded,YFP,Empty,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,n1pok-fiber,n1pok-misfolded,nYFP,nEmpty,y1pok-fiber,y1pok-misfolded,yYFP,yEmpty,r1pok-fiber,r1pok-misfolded,rYFP,rEmpty
1,0.511651434792899,0.6485546875,0.622133458646617,-0.082816938088643,1,0,0,1,0,0,0,Chaperone,HSP104,845,512,1064,722,481.089701775148,384.613921875,2501.16793515038,35.102228531856,589.906480473373,637.950693359375,546.866193609023,583.796728531856
2,-0.148642491343669,-0.135125831457431,-0.257062645072464,0.715269633507853,0,1,0,0,0,0,0,Chaperone,HSP78,774,693,1380,1146,544.585550387597,387.541523809524,2471.32550797101,33.4084581151832,191.926658914729,181.809304473304,212.098757246377,196.30822600349
3,-0.155887945670628,-0.168247506461233,-0.281254575225595,0.730066696460177,0,1,0,0,0,0,0,Chaperone,MCX1,589,1006,1219,791,520.471473684211,362.800317097416,2460.45440689089,32.3481428571429,37.4063361629881,38.566810139165,38.5190508613618,37.9076384323641
4,0.765282558139535,0.622956011730205,0.497679802955665,-0.034190561590038,0,0,0,1,0,0,0,DNA-related,RVB1,860,682,1421,1044,544.04473372093,392.29508797654,2456.85027375088,31.2684377394636,257.336726744186,248.013944281525,237.650313863476,249.057477969349
5,0.748110244988864,0.621792571215352,0.540560762951334,-0.064089147286822,0,0,0,1,0,0,0,DNA-related,RVB2,898,938,1274,1032,521.086954342984,380.227813432836,2518.07281397174,32.495234496124,190.554094654788,192.863789978678,180.961798273155,197.642391472868
6,-0.0050838727,-0.179105578537736,-0.166822256092843,0.048085687738607,0,0,1,0,0,0,0,Chaperone,CNE1,760,848,1034,1163,519.259742105263,389.815489386792,2508.11027079304,32.9835872742906,10.5612578947368,10.5352912735849,11.558169245648,12.0724978503869
7,-0.05127847965812,0.237386920772947,0.257862955721393,-0.073642652727273,0,0,0,0,0,1,0,Chaperone,TCP1,1170,621,804,770,547.558895726496,372.445246376812,2515.17872885572,30.4877883116883,255.227470940171,242.072911433172,227.760565920398,241.663098701299
8,-0.063479783277592,-0.183119113573407,-0.167067136311569,0.110222074545455,1,0,0,0,0,0,0,Chaperone,CCT2,897,722,873,957,534.254694537347,340.103743767313,2452.10075715922,30.7148578892372,9.40034448160535,10.3877243767313,11.969264604811,8.2420303030303
9,-0.053559708801956,-0.233199240551839,-0.268852864700997,-0.04411560100276,1,0,0,0,0,0,0,Chaperone,CCT3,818,1196,1204,1087,499.650023227384,349.601122909699,2375.33992857143,30.2940386384545,61.109760391198,52.9027516722408,56.1151935215947,59.0145768169273
10,-0.171555225319693,0.139752689694656,0.208609991755319,0.015855140186916,1,0,0,0,0,0,0,Chaperone,CCT4,391,262,376,214,406.229884910486,273.878125954198,1616.17044946809,33.883238317757,151.00552685422,146.753290076336,142.329930851064,147.549182242991
11,-0.043155168218884,0.223413072774327,0.296653002859867,0.005846552631579,1,0,0,0,0,0,0,Chaperone,CCT5,932,966,1049,855,469.266089055794,345.17300310559,2292.7141448999,27.6802748538012,213.697736051502,210.980582815735,204.404845567207,214.431270175439
12,-0.074064111146838,-0.204999263527935,-0.17941742077597,0.107351310872894,1,0,0,0,0,0,0,Chaperone,CCT6,933,1593,799,653,508.18454340836,359.4931217828,2411.78151439299,31.2267396630934,9.01828617363344,8.60029817953547,8.6898648310388,7.34158039816233
13,-0.118528831133113,-0.049603678929766,-0.23323640167364,0.7432002002002,0,1,0,0,0,0,0,Chaperone,HSP10,909,598,956,999,539.355426842684,400.28906187291,2470.43579707113,35.6197577577578,1094.25500990099,950.115284280936,973.07394665272,1017.57606806807
14,0.538260398145025,0.380299247638889,0.344451934416667,-0.022307934729574,1,1,0,1,0,0,0,Chaperone,APJ1,593,720,1080,869,510.841143338954,369.960052777778,2473.57711944444,31.7275166858458,13.9167740303541,13.8061611111111,15.6745546296296,15.9528170310702
15,0.43958573388203,0.59983498349835,0.611745029239766,-0.139454693007916,1,0,0,1,0,0,0,Chaperone,CAJ1,729,909,855,758,522.67477914952,363.71903410341,2413.69196725146,31.9257875989446,137.861639231824,134.972556655666,130.221791812865,135.466150395778
16,0.622752399232246,0.441876836158192,0.431997406718404,-0.075707011455399,0,0,0,1,0,0,0,RNA-related,CWC23,1042,885,1353,1065,515.587553742802,380.165333333333,2447.8843045085,32.1861615023474,19.923443378119,18.8068983050847,22.9559733924612,20.0288901408451
17,0.068302369329529,0.118467506953642,0.087016952393981,0.07854544455733,1,0,1,0,0,0,1,Peroxisom-related,DJP1,701,604,731,689,475.85947360913,339.524271523179,2345.20716552668,27.9191407837446,146.320483594864,147.339132450331,137.899002735978,136.760094339623
18,-0.050983831884058,-0.194506169103774,-0.238005907407407,0.062744355470738,0,0,1,0,0,0,0,Folding-related,ERJ5,897,848,945,786,529.534313266444,378.445676886792,2463.18764021164,30.1583027989822,27.3917157190635,24.490233490566,26.2046772486772,25.221510178117
19,0.017147540039448,-0.058309299113475,-0.109795286546185,0.076227356014692,0,0,1,0,0,0,0,Chaperone,HLJ1,1014,1128,996,1089,548.12476035503,370.222328014184,2435.01498493976,33.3586106519743,30.3074773175542,30.545469858156,29.655515060241,30.0536831955923
20,-0.162792871807838,-0.218940926999059,-0.307243867243867,0.726472602739726,0,1,0,0,0,0,0,Chaperone,JAC1,791,1063,693,730,548.935173198483,375.520758231421,2528.45156565657,30.6631767123288,19.4105689001264,19.2073565380997,18.6577604617605,18.1903260273973
