,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,0.487117392490314,0.342577366428119,NA,0.48925238018475,1,0,0,1,0,0,0,Chaperone,HSP104,737,336,NA,674,447.512241519674,75.9181101190476,NA,2348.45208011869,562.502537313433,591.055577380952,NA,590.214410979228
2,0.01770674726486,0.264409598685848,0.619862711171969,0.015774056246272,0,1,0,0,0,0,0,Chaperone,HSP78,602,673,693,705,503.222915282392,70.5929494799406,28.5862496392496,2335.09774609929,184.362993355482,184.164084695394,192.242564213564,183.124144680851
3,0.027993577082026,0.27571550741249,0.624434993686943,0.013713673047725,0,1,0,0,0,0,0,Chaperone,MCX1,570,880,891,1044,481.645333333333,72.3217238636364,28.3003468013468,2313.03344827586,36.3986298245614,36.5908670454545,36.2601627384961,39.0740957854406
4,0.643244065349175,0.419126301203083,0.074471607922208,0.601970318199372,0,0,0,1,0,0,0,DNA-related,RVB1,737,551,860,715,493.544402985075,72.6754156079855,26.939211627907,2250.92270769231,242.552052917232,245.318900181488,242.759837209302,242.48371048951
5,0.612214370648396,0.414919519416055,0.055938421525552,0.629039401440394,0,0,0,1,0,0,0,DNA-related,RVB2,644,814,518,999,478.552169254658,71.033484029484,26.0103571428571,2314.89879479479,184.011588509317,186.877945945946,186.189976833977,193.689299299299
6,0.112843904884557,0.197873792937556,0.131492436588197,0.038311941017961,0,0,1,0,0,0,0,Chaperone,CNE1,717,748,858,684,484.242384937239,70.5833743315508,27.62937995338,2368.85965497076,10.9880641562064,9.91388368983957,11.7779230769231,14.6228187134503
7,0.121445273803758,0.063705001209739,0.08535070894355,0.180753832844902,0,0,0,0,0,1,0,Chaperone,TCP1,534,810,888,790,480.482280898876,71.1147765432099,28.6881092342342,2301.34215189873,238.110765917603,249.123130864198,233.937585585586,236.95284556962
8,0.118771420734751,0.250755203106857,0.176154293757212,0.029458211503043,1,0,0,0,0,0,0,Chaperone,CCT2,781,881,680,508,497.054624839949,72.5407377979569,27.5447955882353,2398.98971456693,7.38685147247119,11.4194086265607,9.24572794117647,11.3118622047244
9,0.077366841250837,0.055615867823304,0.086758221419753,0.013103038926294,1,0,0,0,0,0,0,Chaperone,CCT3,783,766,844,480,489.875546615581,66.0175287206266,26.1681706161137,2286.97843541667,56.6018480204342,50.643682767624,51.1954834123223,53.1946770833333
10,0.185236150296012,0.052500615724849,0.094165245799314,0.230308729582421,1,0,0,0,0,0,0,Chaperone,CCT4,186,227,226,195,328.044548387097,58.4173700440529,34.4207345132743,1583.82548717949,128.424580645161,146.379334801762,148.767694690266,138.827502564103
11,0.139610876369683,0.04009933451713,0.077316763469723,0.190162876427,1,0,0,0,0,0,0,Chaperone,CCT5,591,719,522,414,467.723524534687,66.5664561891516,25.4173620689655,2238.83609661836,204.971610829103,215.373913769124,204.605651340996,206.774132850242
12,0.110753089345845,0.196240475981041,0.157733198034456,0.028837393263671,1,0,0,0,0,0,0,Chaperone,CCT6,711,981,544,425,492.077732770745,72.6442844036697,27.5192150735294,2364.21555764706,7.61521097046414,8.34742303771662,7.82875735294118,10.0691294117647
13,0.028068349489588,0.383978640882677,0.615860913679967,0.022751750310455,0,1,0,0,0,0,0,Chaperone,HSP10,649,399,894,496,504.913354391371,74.6162330827068,30.2505458612975,2364.75259677419,906.667755007704,976.767714285714,920.355485458613,1049.38760282258
