,wt,fiber,half,3n75 fiber,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 fiber,ywt,yfiber,yhalf,y3n75 fiber,rwt,rfiber,rhalf,r3n75 fiber
1,600.577841328413,627.046857655502,601.099225103734,545.282747111682,1,0,0,1,0,0,0,Chaperone,HSP104,1084,836,964,779,90.6309409594096,71.2684437799043,47.5148526970954,1913.69211168164,600.577841328413,627.046857655502,601.099225103734,545.282747111682
2,189.23207773386,194.746764851485,196.054378531073,181.304230421687,0,1,0,0,0,0,0,Chaperone,HSP78,759,808,885,664,97.9798629776021,69.4615705445545,46.9011694915254,1935.18377710843,189.23207773386,194.746764851485,196.054378531073,181.304230421687
3,34.8721809045226,37.5742580645161,37.2243509615385,39.5113819628647,0,1,0,0,0,0,0,Chaperone,MCX1,597,1178,832,754,94.7343182579564,68.8569915110357,44.5090060096154,1893.88974005305,34.8721809045226,37.5742580645161,37.2243509615385,39.5113819628647
4,255.515534983854,261.320272026432,240.349925490196,249.999419322709,0,0,0,1,0,0,0,DNA-related,RVB1,929,908,765,1004,99.3489892357373,71.3882202643172,44.5203790849673,1987.05451095618,255.515534983854,261.320272026432,240.349925490196,249.999419322709
5,190.840851247601,193.974078054299,190.257333333333,192.112422787194,0,0,0,1,0,0,0,DNA-related,RVB2,1042,884,795,1062,98.4861103646833,70.1122511312217,45.1157358490566,2027.6665094162,190.840851247601,193.974078054299,190.257333333333,192.112422787194
6,10.4658242424242,11.4650488322718,10.4530377073906,13.6122676767677,0,0,1,0,0,0,0,Chaperone,CNE1,825,942,663,1188,99.2709575757576,71.078406581741,45.3470693815988,2047.87198484848,10.4658242424242,11.4650488322718,10.4530377073906,13.6122676767677
7,238.026149096386,241.897804824561,243.763897350993,242.940625340599,0,0,0,0,0,1,0,Chaperone,TCP1,664,912,906,734,99.5981792168675,71.2476765350877,46.870206401766,1978.76001226158,238.026149096386,241.897804824561,243.763897350993,242.940625340599
8,7.16929545454545,9.66395041322314,10.2194296774194,10.8900919254658,1,0,0,0,0,0,0,Chaperone,CCT2,836,605,775,805,97.0602476076555,64.6413834710744,44.4383496774194,1948.60108944099,7.16929545454545,9.66395041322314,10.2194296774194,10.8900919254658
9,56.0334274353877,54.5503341853035,55.1588515850144,53.8298973684211,1,0,0,0,0,0,0,Chaperone,CCT3,1006,1565,694,760,86.9877017892644,64.1526741214058,42.8794265129683,1793.46890131579,56.0334274353877,54.5503341853035,55.1588515850144,53.8298973684211
10,135.738861111111,135.302428115016,132.94741015625,147.899338815789,1,0,0,0,0,0,0,Chaperone,CCT4,252,313,256,304,76.0996984126984,57.7627380191693,42.08255859375,1387.24902960526,135.738861111111,135.302428115016,132.94741015625,147.899338815789
11,207.877968394437,196.411563689605,199.468331189711,205.200498353458,1,0,0,0,0,0,0,Chaperone,CCT5,791,683,622,911,92.2302970922882,61.9201698389458,37.9185064308682,1824.54554226125,207.877968394437,196.411563689605,199.468331189711,205.200498353458
12,9.14277379095164,7.2067376910017,8.38188085106383,9.38327442827443,1,0,0,0,0,0,0,Chaperone,CCT6,641,1178,470,481,95.9902589703588,65.8579108658744,44.7900425531915,1963.64487941788,9.14277379095164,7.2067376910017,8.38188085106383,9.38327442827443
13,989.912822240944,1014.26683367769,1011.92471076923,986.246677419355,0,1,0,0,0,0,0,Chaperone,HSP10,1187,968,1300,806,97.7434035383319,73.7346074380165,50.1902592307692,1989.2882133995,989.912822240944,1014.26683367769,1011.92471076923,986.246677419355
14,12.7700132827324,12.1313316378433,14.8092012987013,15.6897482993197,1,1,0,1,0,0,0,Chaperone,APJ1,527,983,924,1029,93.0137210626186,67.4172594099695,45.4986439393939,2010.02069387755,12.7700132827324,12.1313316378433,14.8092012987013,15.6897482993197
15,130.332902930403,131.739849112426,127.936355799373,132.987596354167,1,0,0,1,0,0,0,Chaperone,CAJ1,546,676,638,768,99.1917600732601,70.4492307692308,44.1359984326019,2008.67581640625,130.332902930403,131.739849112426,127.936355799373,132.987596354167
16,20.039127340824,17.6465709342561,17.7964488687783,20.4998987341772,0,0,0,1,0,0,0,RNA-related,CWC23,801,578,1105,1422,94.5537315855181,69.5749844290658,44.5468877828054,1985.46346272855,20.039127340824,17.6465709342561,17.7964488687783,20.4998987341772
17,140.441601436266,136.992087087087,138.34275,138.347158441558,1,0,1,0,0,0,1,Peroxisom-related,DJP1,557,666,840,770,92.1929622980251,67.0735630630631,42.0696380952381,1910.29997532468,140.441601436266,136.992087087087,138.34275,138.347158441558
18,27.1291566390042,24.1015072254335,25.9311118721461,28.8328108672936,0,0,1,0,0,0,0,Folding-related,ERJ5,964,692,876,957,98.0254450207469,69.7911661849711,45.288446347032,2025.8358045977,27.1291566390042,24.1015072254335,25.9311118721461,28.8328108672936
19,30.5193183315038,30.0750338491296,31.5230252270434,30.6962308447937,0,0,1,0,0,0,0,Chaperone,HLJ1,911,1034,991,1018,99.3003984632272,68.8667369439072,47.86551160444,1993.18044204322,30.5193183315038,30.0750338491296,31.5230252270434,30.6962308447937
20,19.0121552941176,18.6914265593561,19.3429003783102,18.3925965978129,0,1,0,0,0,0,0,Chaperone,JAC1,850,994,793,823,104.028741176471,71.8655261569417,47.9364098360656,2044.44642770352,19.0121552941176,18.6914265593561,19.3429003783102,18.3925965978129
21,36.5575994208494,38.9094504995459,38.0305474747475,40.1869371781668,0,0,1,0,0,0,0,Chaperone,JEM1,1036,1101,990,971,92.0936428571429,71.3808419618529,45.2686646464647,1989.2003130793,36.5575994208494,38.9094504995459,38.0305474747475,40.1869371781668
22,10.2076316218419,12.1631815920398,12.9134730593607,11.7816802594995,0,1,0,0,0,0,0,Chaperone,JID1,1227,1608,1095,1079,96.9813683781581,67.8395777363184,46.7602538812785,2010.74784430028,10.2076316218419,12.1631815920398,12.9134730593607,11.7816802594995
23,16.7920184453228,15.8682159624413,17.4565508298755,20.7064541284404,1,1,0,0,0,0,0,Chaperone,JJJ1,759,639,964,654,94.588976284585,69.9106478873239,44.6054626556017,2004.62284556575,16.7920184453228,15.8682159624413,17.4565508298755,20.7064541284404
24,9.157034375,9.78875170068027,7.7612769726248,10.6903605220228,1,0,0,1,0,0,0,Chaperone,JJJ2,960,882,621,613,101.383177083333,70.3816598639456,43.6050821256039,1994.09841435563,9.157034375,9.78875170068027,7.7612769726248,10.6903605220228
25,39.1565266666667,41.4248377862595,38.363455075846,41.9809585492228,1,0,0,1,0,0,0,Chaperone,JJJ3,750,524,857,1158,96.6708466666667,71.6463797709924,44.2031551925321,2014.0093402418,39.1565266666667,41.4248377862595,38.363455075846,41.9809585492228
26,169.737294736842,172.357784190715,176.997477130977,176.993574092247,0,1,0,0,0,0,0,Chaperone,MDJ1,1235,797,962,1019,93.2841457489879,69.8262245922208,45.7354625779626,1914.60298626104,169.737294736842,172.357784190715,176.997477130977,176.993574092247
27,11.4105298416565,12.2479140740741,10.7215117096019,12.75264053076,0,1,0,0,0,0,0,Chaperone,MDJ2,821,675,854,829,96.204341047503,68.0488177777778,44.2218138173302,1936.80320627262,11.4105298416565,12.2479140740741,10.7215117096019,12.75264053076
28,129.15848217636,131.790682274248,130.375881309686,132.779443074004,0,0,1,0,0,0,0,Chaperone,SCJ1,533,598,733,1054,96.9342851782364,71.8275484949833,46.0063246930423,2032.22028273245,129.15848217636,131.790682274248,130.375881309686,132.779443074004
29,111.170461538462,101.299860215054,95.1032156862745,108.210460526316,0,1,1,0,0,0,0,Chaperone,SEC63,39,93,51,76,79.7280256410256,50.6717849462366,39.990568627451,1773.80019736842,111.170461538462,101.299860215054,95.1032156862745,108.210460526316
30,571.408268404908,586.361648648649,576.25413878327,579.723188057041,1,0,0,1,0,0,0,Chaperone,SIS1,652,1110,1052,1122,106.509286809816,73.2960117117117,49.9613469581749,2012.09969340463,571.408268404908,586.361648648649,576.25413878327,579.723188057041
31,41.4967802816901,40.4320819277108,43.8827033898305,53.7083723887375,1,0,0,0,0,0,0,,SWA2,710,830,1180,1101,100.251074647887,70.8849048192771,47.7099381355932,2013.74337693006,41.4967802816901,40.4320819277108,43.8827033898305,53.7083723887375
32,172.430891156463,187.155219123506,159.147230769231,175.992589403974,0,1,0,0,0,0,0,,TIM14,294,251,260,302,99.2793809523809,76.855,52.10645,1688.63890066225,172.430891156463,187.155219123506,159.147230769231,175.992589403974
33,26.3651406436234,23.7341004140787,26.0673321428571,29.3845216589862,0,1,0,1,0,0,0,Chaperone,XDJ1,839,966,840,1085,100.758457687723,68.3637194616977,44.9930154761905,2054.85252073733,26.3651406436234,23.7341004140787,26.0673321428571,29.3845216589862
34,1197.13339444027,1210.20481515712,1228.02460640301,1167.60251458886,1,0,0,0,0,0,0,Chaperone,YDJ1,1331,1082,1062,754,104.707446280992,68.0817754158965,50.3061666666667,2047.41258885942,1197.13339444027,1210.20481515712,1228.02460640301,1167.60251458886
35,714.849946632783,690.706838383838,700.895447831184,708.233152095808,1,1,0,1,0,0,0,Chaperone,ZUO1,787,792,853,835,97.8659872935197,71.6154886363636,45.9919062133646,2031.88126586826,714.849946632783,690.706838383838,700.895447831184,708.233152095808
36,5.18896802646086,5.43576381104884,5.54252889447236,7.21852477477477,0,1,0,0,0,0,0,Chaperone,HSP60,907,1249,796,888,101.975084895259,74.5726685348279,45.4492889447236,2121.81550225225,5.18896802646086,5.43576381104884,5.54252889447236,7.21852477477477
37,1418.04758320951,1420.94983502171,1358.83495178399,1237.19401221167,0,0,1,0,0,0,0,Chaperone,KAR2,1346,691,1037,737,94.3895936106984,76.0434211287988,49.6143548698168,2002.09626729986,1418.04758320951,1420.94983502171,1358.83495178399,1237.19401221167
38,25.6958219832736,22.6620702875399,25.4427234299517,26.5329195230998,0,0,1,0,0,0,0,Chaperone,LHS1,837,626,828,671,98.3018685782557,70.5172108626198,46.1815458937198,1950.82528912072,25.6958219832736,22.6620702875399,25.4427234299517,26.5329195230998
39,2588.08327682927,2571.62844926108,2412.73126826347,2398.35952290076,1,0,0,1,1,0,0,Chaperone,SSA1,820,1015,835,1048,105.449901219512,80.3741428571429,52.9452167664671,2067.40076335878,2588.08327682927,2571.62844926108,2412.73126826347,2398.35952290076
40,7798.28909636872,7786.83855338691,7597.9793860523,7330.27678571429,1,1,0,0,0,1,0,Chaperone,SSA2,716,871,803,812,120.949909217877,92.4754994259472,67.9901643835616,1975.82099261084,7798.28909636872,7786.83855338691,7597.9793860523,7330.27678571429
41,11.5405838607595,15.437332247557,14.9871540372671,20.191347826087,1,0,0,0,0,0,0,Chaperone,SSA3,632,614,805,667,97.3983069620253,69.6576986970684,45.3288683229814,1852.69337181409,11.5405838607595,15.437332247557,14.9871540372671,20.191347826087
42,114.283221528861,124.468955240175,131.512372626582,132.223146229508,1,0,0,1,0,0,0,Chaperone,SSA4,641,916,1264,1525,97.6608627145086,70.472384279476,46.2003639240506,2052.2609757377,114.283221528861,124.468955240175,131.512372626582,132.223146229508
43,3338.54806515957,3340.76772816728,3327.7294018595,3319.80190091931,1,0,0,0,0,1,0,Chaperone,SSB1,752,813,968,979,111.106716755319,83.0297109471095,57.288472107438,2054.77144024515,3338.54806515957,3340.76772816728,3327.7294018595,3319.80190091931
44,2486.54398111111,2429.7917429078,2493.21237157988,2408.98582876064,1,0,0,0,0,1,0,Chaperone,SSB2,900,1128,1133,1057,113.462971111111,79.2816436170213,55.0205772285966,2052.57574834437,2486.54398111111,2429.7917429078,2493.21237157988,2408.98582876064
45,9.11914791403287,10.1066335195531,10.7845745412844,10.1998901098901,1,0,0,1,1,1,0,Metabolism,TOR1,791,895,872,1001,94.3251226295828,64.4011039106145,42.890623853211,1955.12232667333,9.11914791403287,10.1066335195531,10.7845745412844,10.1998901098901
