"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"17",159.493896457766,161.435442352941,147.022359408034,152.151419834711,1,0,1,0,0,0,1,"Peroxisom-related","DJP1",367,425,473,605,1103.35877929155,680.848927058824,159.528522198732,70.9879636363636,159.493896457766,161.435442352941,147.022359408034,152.151419834711
"18",32.5818618524333,31.6045239726027,24.7468397291196,26.1353483412322,0,0,1,0,0,0,0,"Folding-related","ERJ5",637,584,443,422,1142.19282417582,674.382301369863,168.446571106095,71.128201421801,32.5818618524333,31.6045239726027,24.7468397291196,26.1353483412322
"19",32.8062991266376,31.7922997032641,34.0526388443018,32.5184643584521,0,0,1,0,0,0,0,"Chaperone","HLJ1",458,337,623,491,1110.61712663755,665.990240356083,160.601239165329,70.9964276985743,32.8062991266376,31.7922997032641,34.0526388443018,32.5184643584521
"20",18.8904895635674,17.0134296875,18.7016091954023,15.3330972972973,0,1,0,0,0,0,0,"Chaperone","JAC1",527,512,435,370,1122.35328083491,693.411640625,162.253526436782,72.0692540540541,18.8904895635674,17.0134296875,18.7016091954023,15.3330972972973
"21",40.4260439276486,40.5780208333333,40.141384305835,37.850925,0,0,1,0,0,0,0,"Chaperone","JEM1",387,672,497,480,1140.56526614987,652.773360119048,159.625162977867,70.199675,40.4260439276486,40.5780208333333,40.141384305835,37.850925
"22",12.8681662125341,13.4392146974063,10.7570339805825,10.7627212230216,0,1,0,0,0,0,0,"Chaperone","JID1",734,694,412,556,1118.41365395095,668.742317002882,171.17740776699,71.243464028777,12.8681662125341,13.4392146974063,10.7570339805825,10.7627212230216
"23",18.9872704545455,19.4919664,19.5422037037037,18.146374,1,1,0,0,0,0,0,"Chaperone","JJJ1",440,625,432,500,1119.65289545455,645.933088,171.188414351852,69.575524,18.9872704545455,19.4919664,19.5422037037037,18.146374
"24",10.635643442623,11.5993460992908,11.210084,10.0045947368421,1,0,0,1,0,0,0,"Chaperone","JJJ2",488,705,500,380,1095.9353442623,660.879520567376,168.390926,72.7507078947368,10.635643442623,11.5993460992908,11.210084,10.0045947368421
"25",44.5309626666667,44.828755952381,43.3097140600316,43.0248985507246,1,0,0,1,0,0,0,"Chaperone","JJJ3",375,336,633,552,1113.45645333333,664.607577380952,161.989796208531,71.3361105072464,44.5309626666667,44.828755952381,43.3097140600316,43.0248985507246
"26",173.757141104294,175.132455555556,164.000826833073,161.082089385475,0,1,0,0,0,0,0,"Chaperone","MDJ1",326,270,641,537,1107.59879754601,679.426840740741,157.881244929797,68.3626424581006,173.757141104294,175.132455555556,164.000826833073,161.082089385475
"27",11.4487058823529,9.86323036649215,10.4000762331839,11.1071010498688,0,1,0,0,0,0,0,"Chaperone","MDJ2",323,382,446,762,1082.03314860681,653.064138743455,161.248262331839,65.0164081364829,11.4487058823529,9.86323036649215,10.4000762331839,11.1071010498688
"28",136.660376940133,141.699625,131.13141202346,130.280516129032,0,0,1,0,0,0,0,"Chaperone","SCJ1",451,504,682,682,1118.03833481153,679.959865079365,157.85185483871,70.3411026392962,136.660376940133,141.699625,131.13141202346,130.280516129032
"29",112.30156,118.16268627451,116.103944680851,108.538164473684,0,1,1,0,0,0,0,"Chaperone","SEC63",50,204,235,152,1156.15762,782.627289215686,220.835740425532,64.8682960526316,112.30156,118.16268627451,116.103944680851,108.538164473684
"30",629.564948243993,609.38569982238,616.765379018613,569.499338028169,1,0,0,1,0,0,0,"Chaperone","SIS1",541,563,591,497,1087.72909426987,660.170721136767,176.410152284264,71.184861167002,629.564948243993,609.38569982238,616.765379018613,569.499338028169
"31",43.7363847926267,40.508026128266,42.6547702312139,42.7555686956522,1,0,0,0,0,0,0,"","SWA2",434,421,692,575,1108.11512903226,672.418448931116,157.791752890173,71.7680591304348,43.7363847926267,40.508026128266,42.6547702312139,42.7555686956522
"32",197.213717514124,202.148774468085,185.171413043478,197.854573891626,0,1,0,0,0,0,0,"","TIM14",177,235,138,406,950.402813559322,609.617042553191,162.410384057971,75.5586403940887,197.213717514124,202.148774468085,185.171413043478,197.854573891626
"33",27.9204720588235,25.6935891089109,25.3204246861925,25.6161082802548,0,1,0,1,0,0,0,"Chaperone","XDJ1",680,404,478,628,1111.13849705882,669.323920792079,168.157380753138,70.4117165605096,27.9204720588235,25.6935891089109,25.3204246861925,25.6161082802548
"34",1278.0801394958,1286.32560966543,1277.79028641571,1234.67417295597,1,0,0,0,0,0,0,"Chaperone","YDJ1",595,538,611,636,1112.86059495798,682.947576208178,178.828577741408,81.2839701257862,1278.0801394958,1286.32560966543,1277.79028641571,1234.67417295597
"35",750.120684931507,714.270740458015,719.29931918239,694.261633217993,1,1,0,1,0,0,0,"Chaperone","ZUO1",511,524,636,578,1123.17082191781,638.164679389313,166.606937106918,71.4733183391003,750.120684931507,714.270740458015,719.29931918239,694.261633217993
"36",5.42430909090909,5.92027791563275,5.10131790744467,6.04672280701754,0,1,0,0,0,0,0,"Chaperone","HSP60",495,806,497,570,1178.25522424242,687.86367369727,184.532891348089,74.7289526315789,5.42430909090909,5.92027791563275,5.10131790744467,6.04672280701754
"37",1282.97194669118,1336.79937681159,1143.62374899598,1159.23272279793,0,0,1,0,0,0,0,"Chaperone","KAR2",544,414,498,386,1066.26197426471,659.380736714976,170.832411646586,78.5048886010363,1282.97194669118,1336.79937681159,1143.62374899598,1159.23272279793
"38",21.1152920634921,21.3516431095406,20.2385032679739,19.8727571214393,0,0,1,0,0,0,0,"Chaperone","LHS1",315,566,459,667,1073.63104126984,686.685439929329,167.043,72.6067451274363,21.1152920634921,21.3516431095406,20.2385032679739,19.8727571214393
"39",2981.93515184049,2672.75413193117,2614.46980798479,2508.72840150094,1,0,0,1,1,0,0,"Chaperone","SSA1",652,523,526,533,1160.68502607362,678.636772466539,170.443100760456,80.0801463414634,2981.93515184049,2672.75413193117,2614.46980798479,2508.72840150094
"40",8418.71790125673,8886.74563414634,8104.58482110092,8340.0554646098,1,1,0,0,0,1,0,"Chaperone","SSA2",557,492,654,551,1132.84767324955,710.801977642276,190.931810397554,94.8098511796733,8418.71790125673,8886.74563414634,8104.58482110092,8340.0554646098
"41",20.6467941680961,20.6129191011236,19.637352484472,18.6734736842105,1,0,0,0,0,0,0,"Chaperone","SSA3",583,445,644,646,1135.59035334477,677.9982,162.00101863354,71.8535046439629,20.6467941680961,20.6129191011236,19.637352484472,18.6734736842105
"42",146.360178571429,137.678378823529,139.904491452991,145.17858404908,1,0,0,1,0,0,0,"Chaperone","SSA4",560,425,702,815,1104.4571,659.007223529412,157.729032763533,69.7955423312883,146.360178571429,137.678378823529,139.904491452991,145.17858404908
"43",3157.4779978022,3168.76008883249,3131.10526428571,3182.8436975945,1,0,0,0,0,1,0,"Chaperone","SSB1",455,394,560,582,1114.77125714286,699.01973857868,179.714021428571,84.2827749140893,3157.4779978022,3168.76008883249,3131.10526428571,3182.8436975945
