"","wt","fiber","misfolded","half","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Category","names","nwt","nfiber","nmisfolded","nhalf","ywt","yfiber","ymisfolded","yhalf","rwt","rfiber","rmisfolded","rhalf"
"1",0.287,0.2219,0.132547325090909,-0.0101621621621622,1,0,0,1,0,0,0,"Chaperone","HSP104",2,10,275,296,5.03599999999999,731.3303,180.810516363636,38.6559425675676,13.2785,992.148,662.930581818182,670.520222972973
"2",NA,0.169714285714286,-0.0206973841708543,0.198645038167939,0,1,0,0,0,0,0,"Chaperone","HSP78",NA,14,398,262,NA,656.906,181.138766331658,35.4937938931298,NA,348.888285714286,228.527891959799,250.473083969466
"3",NA,0.07004,0.0110227272727273,0.143157202517162,0,1,0,0,0,0,0,"Chaperone","MCX1",NA,25,308,437,NA,772.53116,169.978003246753,37.0148100686499,NA,75.71044,43.3633733766234,46.3210983981693
"4",0.117,0.114147058823529,-0.0402783783783784,-0.0710106666666667,0,0,0,1,0,0,0,"DNA-related","RVB1",3,34,370,375,555.438666666667,751.596,186.901383783784,36.0833866666667,199.320666666667,371.598176470588,297.931175675676,244.861973333333
"5",0.2365,-0.06465,-0.064636170212766,-0.0480524406844106,0,0,0,1,0,0,0,"DNA-related","RVB2",2,40,470,263,384.251,624.774775,173.023921276596,36.191319391635,140.2545,269.134425,234.908355319149,203.291851711027
"6",NA,-0.00791304347826087,0.0511093766202899,-0.0117775,0,0,1,0,0,0,0,"Chaperone","CNE1",NA,23,345,400,NA,737.636,192.533649275362,36.2175375,NA,28.0686086956522,15.6874956521739,15.25015
"7",NA,0.0692068965517241,0.0434694471751412,-0.107766393442623,0,0,0,0,0,1,0,"Chaperone","TCP1",NA,29,354,244,NA,483.851344827586,174.821183615819,37.266381147541,NA,350.587034482759,315.693129943503,286.76118852459
"8",NA,-0.0787826086956522,0.036397124691358,-0.035421052631579,1,0,0,0,0,0,0,"Chaperone","CCT2",NA,23,324,285,NA,711.01147826087,189.969277777778,37.2917929824561,NA,40.4690434782609,13.7757222222222,10.0667824561404
"9",NA,0.0930322580645161,0.043506335978836,-0.0564989917177914,1,0,0,0,0,0,0,"Chaperone","CCT3",NA,31,378,326,NA,735.909677419355,200.759735449735,36.3488987730061,NA,80.9633225806452,64.6887962962963,60.776263803681
"10",NA,0.132909090909091,0.0436547619047619,-0.0459130434782609,1,0,0,0,0,0,0,"Chaperone","CCT4",NA,11,84,92,NA,403.853545454545,122.039083333333,38.7843695652174,NA,213.401363636364,177.210202380952,178.616347826087
"11",0.5815,-0.0381142857142857,0.02488493140625,-0.0293282087765957,1,0,0,0,0,0,0,"Chaperone","CCT5",2,35,192,376,356.7995,778.524714285714,220.336385416667,37.1840585106383,215.5965,315.539971428571,262.046010416667,256.433231382979
"12",NA,0.211933973684211,-0.0147300380228137,-0.00687027027027027,1,0,0,0,0,0,0,"Chaperone","CCT6",NA,19,263,185,NA,776.233421052632,182.130718631179,38.0758216216216,NA,38.3891578947368,10.4199049429658,10.1330864864865
"13",NA,-0.0216666666666667,-0.01383155,0.259698051948052,0,1,0,0,0,0,0,"Chaperone","HSP10",NA,9,124,308,NA,745.015333333333,172.812540322581,41.420711038961,NA,1522.523,1244.89979032258,1268.09742207792
"14",0.122,0.239826086956522,0.0349533747474748,-0.0205571428571429,1,1,0,1,0,0,0,"Chaperone","APJ1",1,23,198,280,155.166,630.892869565217,169.211666666667,34.5589464285714,5.80800000000001,60.8046956521739,19.9360050505051,16.5376107142857
