"","half","misfolded","fiber","wt","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Peroxisome","golgi","lipid droplet","Category","SGA-hit","names","nhalf","nmisfolded","nfiber","nwt","yhalf","ymisfolded","yfiber","ywt","rhalf","rmisfolded","rfiber","rwt"
"20",362.930743127962,352.963428336079,362.440267618198,370.854550233645,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"PRE6",1055,607,1121,856,33.8948056872038,89.5472718286656,354.414182872435,609.22434228972,362.930743127962,352.963428336079,362.440267618198,370.854550233645
"21",43.4510946814728,50.1589824701195,45.3534866666667,43.7410933521924,0,0,0,1,0,0,0,0,0,0,"RNA-related",1,"REF2",1711,1255,1350,1414,31.1507457627119,86.8988892430279,346.491228148148,611.656353606789,43.4510946814728,50.1589824701195,45.3534866666667,43.7410933521924
"22",147.067533407572,142.435047331319,148.093097222222,150.704481233244,1,0,0,0,0,0,0,0,0,0,"Lipid-Related",1,"YPK1",898,993,1080,746,36.6964899777283,80.8997139979859,273.317962037037,492.148226541555,147.067533407572,142.435047331319,148.093097222222,150.704481233244
"23",68.3900130378097,65.0839821260583,69.7276977491961,67.4198223624887,1,0,0,0,0,0,0,0,0,0,"Autophagy",0,"ATG3",767,1063,1866,1109,35.125964797914,98.2438137347131,363.582638799571,630.862331830478,68.3900130378097,65.0839821260583,69.7276977491961,67.4198223624887
"24",77.8029621621622,77.2872075688073,78.8915010729614,74.2016478984933,1,0,0,0,1,0,0,0,0,0,"Autophagy",0,"ATG18",370,872,932,1261,34.4618513513513,99.5439438073394,400.179494635193,646.65137668517,77.8029621621622,77.2872075688073,78.8915010729614,74.2016478984933
"25",38.6363718120805,27.2259567723343,31.180203539823,38.040724260355,1,0,0,1,0,0,0,0,0,0,"Proteasome",0,"RPN14",745,347,1017,845,33.5800724832215,96.1016685878963,332.955981317601,526.533618934911,38.6363718120805,27.2259567723343,31.180203539823,38.040724260355
"26",53.2923368421053,45.6832503477051,47.5526882640587,52.4922552301255,0,0,1,0,0,0,0,0,0,0,"Autophagy",0,"ATG40",285,719,818,239,35.0012035087719,90.9187371349096,314.339919315403,550.393857740586,53.2923368421053,45.6832503477051,47.5526882640587,52.4922552301255
"27",30.9869289256198,31.2567675296656,31.0189324840764,30.8472291052114,1,0,0,0,0,0,0,0,0,0,"Signaling",1,"STE50",605,1854,785,1017,33.9742578512397,93.7403139158576,330.800470063694,569.537908554572,30.9869289256198,31.2567675296656,31.0189324840764,30.8472291052114
"28",55.6335082159624,50.1150596085409,54.984122406639,56.4775091575092,0,0,1,0,0,0,0,0,0,0,"Autophagy",0,"ATG15",852,1124,964,273,35.9150070422535,96.4770462633452,340.626663900415,576.968875457875,55.6335082159624,50.1150596085409,54.984122406639,56.4775091575092
"29",19.1459874776386,17.9986881028939,19.7212821482602,18.9200650406504,1,0,0,1,0,0,0,0,0,0,"-",1,"PTC1",559,622,1322,984,32.4417781753131,79.2767797427653,306.547242813918,546.900007113821,19.1459874776386,17.9986881028939,19.7212821482602,18.9200650406504
"30",282.481898843931,258.697377386197,253.391287621359,280.206044382802,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"PGM2",692,681,824,721,36.030926300578,85.5657430249633,316.343469660194,585.698661581137,282.481898843931,258.697377386197,253.391287621359,280.206044382802
"31",119.414123042506,122.39559057072,115.178895734597,123.691682051282,1,0,0,1,0,0,0,0,0,0,"Stress-related",0,"PBP1",447,403,211,585,34.0107651006711,95.6380397022333,352.463687203791,568.850039316239,119.414123042506,122.39559057072,115.178895734597,123.691682051282
"32",43.6765209742896,46.7629027409372,50.8803633004926,42.6523209549072,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"BLM10",739,1131,812,1131,32.8683599458728,84.7479708222812,318.875926108374,569.461719717065,43.6765209742896,46.7629027409372,50.8803633004926,42.6523209549072
"33",39.1148441558442,43.7606778443114,38.2289260869565,44.6791384381339,1,0,0,1,0,0,0,0,0,0,"Stress-related",0,"YAP1",770,1670,230,1972,31.9798207792208,89.1192023952096,339.379226086957,576.709194219067,39.1148441558442,43.7606778443114,38.2289260869565,44.6791384381339
"34",210.443532139951,207.791086457536,201.848473133287,214.977933372992,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"TSL1",2458,1307,1433,1681,33.7205276647681,86.7762012241775,335.579607815771,577.025249851279,210.443532139951,207.791086457536,201.848473133287,214.977933372992
"35",32.3431413721414,34.7301349637681,31.733365448505,31.1518602564103,0,0,0,1,0,0,0,0,0,0,"-",1,"LRS4",1924,1104,1505,780,33.0680322245322,97.5575081521739,352.706420598007,612.702274358974,32.3431413721414,34.7301349637681,31.733365448505,31.1518602564103
"36",30.4904465795542,38.7570386206897,34.2467270507813,29.0124790902421,0,0,0,0,0,0,0,0,0,0,"Vacuole-related",1,"VPS3",1301,725,2048,1363,34.3659930822444,95.2052579310345,355.345416503906,618.66678429934,30.4904465795542,38.7570386206897,34.2467270507813,29.0124790902421
"37",62.0824104803493,65.0823525,57.9631316287879,60.3975509641873,0,0,0,0,0,0,0,0,0,0,"Structural",1,"KRE28",687,400,1056,726,31.6030262008734,87.149225,311.479514204545,553.906847107438,62.0824104803493,65.0823525,57.9631316287879,60.3975509641873
"38",26.7681234177215,52.1245752212389,28.2745391517129,28.1388540587219,0,0,0,0,0,1,1,0,0,0,"Structural",1,"BNI1",316,226,1226,1158,30.8129525316456,95.2757610619469,332.396421696574,528.107724525043,26.7681234177215,52.1245752212389,28.2745391517129,28.1388540587219
"39",37.0809427312775,26.3523961937716,33.0022865168539,21.1871156069364,1,0,0,0,0,0,0,0,0,0,"Autophagy",0,"ATG2",227,578,178,173,37.3048854625551,85.0636349480969,345.921674157303,540.413289017341,37.0809427312775,26.3523961937716,33.0022865168539,21.1871156069364
"40",61.1515573440644,60.7213803786575,52.7797640586797,52.1988056994819,0,0,0,1,0,0,0,0,0,0,"RNA-related",1,"MED1",497,581,818,772,35.0947464788732,87.6462117039587,331.163838630807,598.341591968912,61.1515573440644,60.7213803786575,52.7797640586797,52.1988056994819
"41",49.8629851678376,50.8656918032787,56.1552139534884,47.7602222222222,0,0,0,1,0,0,0,0,0,0,"DNA-related",1,"RSC1",1281,1220,430,1305,32.7199032006245,84.9277163934426,325.2523,531.650011494253,49.8629851678376,50.8656918032787,56.1552139534884,47.7602222222222
