"","half","misfolded","fiber","wt","cytosol","mitochondria","ER","Nucleus","Vacuole","Plasma-membrane","budneck","Peroxisome","golgi","lipid droplet","Category","SGA-hit","names","nhalf","nmisfolded","nfiber","nwt","yhalf","ymisfolded","yfiber","ywt","rhalf","rmisfolded","rfiber","rwt"
"1",0.133999738461538,-0.0127040970042796,0.00355380532258065,0.363808333333333,1,0,0,0,0,0,0,0,0,0,"Oxidative-stress",1,"GND1",65,701,1240,120,317.816969230769,531.215186875892,365.636770967742,519.538833333333,1807.61596923077,2042.80814693295,1664.23854919355,1143.44045
"2",0.00930285019455253,0.1016522554,0.070442348076225,-0.0408108108108108,0,1,1,0,0,0,0,0,0,1,"Lipid-Related",1,"ERG6",257,250,1102,37,293.399073929961,540.692992,364.903227767695,466.255648648649,276.483210116732,300.090016,284.929680580762,195.418108108108
"3",0.10910447761194,0.019070848245614,-0.0051375,0.451579710144928,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"PUB1",67,228,400,69,275.980910447761,516.433271929825,414.73328,469.34847826087,239.815492537313,293.341065789474,295.32326,136.761434782609
"4",0.134322033898305,0.109723163841808,0.135184240865385,0.154105263157895,0,0,0,1,0,0,0,0,0,0,"Proteasome",0,"PRE1",59,177,208,38,360.434830508475,558.072361581921,419.124341346154,564.687131578947,169.636271186441,248.404214689266,212.404879807692,55.1024736842105
"5",0.163513513513514,0.0801521739130435,0.128245614035088,0.152466666666667,1,0,0,0,0,0,0,0,0,0,"Protease",0,"SDD3",37,46,57,30,311.597,536.009608695652,355.222859649123,541.057066666667,47.1533243243243,59.8623913043478,56.9099649122807,32.7295666666667
"6",-0.360666666666667,-0.00105,-0.038516339869281,-0.0535,0,0,1,0,0,0,0,0,0,0,"AA-related",1,"BAP2",6,80,306,62,164.1035,531.6921375,402.579803921569,554.819741935484,167.783666666667,223.0268125,251.482235294118,204.753096774194
"7",0.128564102564103,0.0478344228310502,0.0388539325842697,0.545333333333333,1,0,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS1",78,219,267,3,292.031602564103,527.2380456621,363.465737827715,627.124333333333,69.9705641025641,83.2300776255708,78.1987715355805,56.9773333333333
"8",0.0558,0.041825,0.0991492537313433,0.0284444444444444,1,0,0,0,0,0,0,0,0,0,"Lipid-Related",1,"PDR17",25,80,67,18,288.13616,536.921225,392.877328358209,630.888944444444,21.44392,24.53905,23.5368656716418,18.5267222222222
"9",0.0977403846153846,0.0284770642201835,0.0862948767123288,0.238975609756098,1,0,0,0,0,0,0,0,0,0,"AA-related",0,"ARG4",104,218,146,41,281.148557692308,523.489376146789,374.800410958904,516.270365853659,102.706596153846,103.490706422018,101.661712328767,59.3588536585366
"10",0.1915,0.0237272727272727,0.034625,0.181684210526316,0,1,0,0,0,0,0,0,0,0,"Stress-related",0,"TPS2",22,77,88,19,307.349363636364,550.811597402597,338.565431818182,591.010947368421,43.312,47.8503896103896,54.6990113636364,37.3620526315789
