,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.946724346076459,0.915752988047809,0.883125279642058,NA,1,0,0,1,0,0,0,Chaperone,HSP104,497,251,447,NA,187.751340040241,89.4039203187251,29.5467673378076,NA,616.196738430584,600.954151394422,567.697991051454,NA
2,0.935114705882353,0.931413249211356,0.943260047281324,NA,0,1,0,0,0,0,0,Chaperone,HSP78,340,317,423,NA,194.612108823529,93.6973406940063,30.5556903073286,NA,213.237455882353,206.838012618297,221.348200945626,NA
3,0.93668009478673,0.921680100755668,0.928032835820895,NA,0,1,0,0,0,0,0,Chaperone,MCX1,422,397,335,NA,176.834746445498,84.8079269521411,29.0963611940298,NA,36.904308056872,37.0310680100756,39.6988985074627,NA
4,0.958805429864253,0.91386372745491,0.819891414141414,NA,0,0,0,1,0,0,0,DNA-related,RVB1,442,499,396,NA,190.980938914027,85.4826973947896,29.0955555555556,NA,249.975459276018,243.122669338677,262.866315656566,NA
5,0.955737527114967,0.910116239316239,0.841764895330113,NA,0,0,0,1,0,0,0,DNA-related,RVB2,461,585,621,NA,193.227203904555,84.8587435897436,27.3344412238325,NA,191.343657266811,192.378528205128,196.177423510467,NA
6,0.943168650793651,0.912805084745763,0.878640298507463,NA,0,0,1,0,0,0,0,Chaperone,CNE1,504,354,670,NA,187.382345238095,88.1262429378531,27.7040567164179,NA,11.8462876984127,12.583011299435,11.5662343283582,NA
7,0.93344920993228,0.91317619047619,0.881877403846154,NA,0,0,0,0,0,1,0,Chaperone,TCP1,443,420,416,NA,161.412670428894,83.7588833333333,29.3084639423077,NA,259.233494356659,256.097654761905,261.158651442308,NA
8,0.931646017699115,0.911618768328446,0.877237804878049,NA,1,0,0,0,0,0,0,Chaperone,CCT2,452,341,492,NA,168.315752212389,87.6265894428152,29.1283008130081,NA,9.06643805309734,9.92970381231672,9.2243069105691,NA
9,0.943261380323054,0.917309352517986,0.892576923076923,NA,1,0,0,0,0,0,0,Chaperone,CCT3,681,834,416,NA,184.914378854626,86.195118705036,30.6836754807692,NA,57.8396960352423,51.4632541966427,58.1183605769231,NA
10,0.891918918918919,0.891603174603175,0.896161016949153,NA,1,0,0,0,0,0,0,Chaperone,CCT4,185,189,118,NA,94.1632594594595,67.9358518518519,34.1636949152542,NA,135.271508108108,163.766042328042,161.416618644068,NA
