,wt,fiber,half,1pok-fiber2,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n1pok-fiber2,ywt,yfiber,yhalf,y1pok-fiber2,rwt,rfiber,rhalf,r1pok-fiber2
1,0.972101226993865,0.915457627118644,0.862897506925208,0.988746166950596,1,0,0,1,0,0,0,Chaperone,HSP104,326,295,361,587,418.887079754601,93.1310508474576,43.9000221606648,453.276477001704,803.101714723926,952.811288135593,849.240853185596,853.803601362862
2,0.961925507900677,0.936605839416058,0.940298578199052,0.983735887096774,0,1,0,0,0,0,0,Chaperone,HSP78,443,411,422,496,444.28665462754,83.0335206812652,45.2394075829384,441.300165322581,277.340196388262,264.693902676399,258.42282464455,224.428278225806
3,0.965823144104804,0.921342342342342,0.925327160493827,0.986225,0,1,0,0,0,0,0,Chaperone,MCX1,458,444,486,440,434.881641921397,80.3811171171171,43.6714218106996,434.413068181818,37.6894126637555,40.8989391891892,38.022878600823,37.1258227272727
4,0.97847619047619,0.92005376344086,0.816925515055468,0.985271546635183,0,0,0,1,0,0,0,DNA-related,RVB1,609,558,631,847,435.585220032841,87.6964892473118,41.2860475435816,544.00465879575,268.097256157635,263.488593189964,264.092133122029,257.127136953955
5,0.976968871595331,0.91311690647482,0.834292719167905,0.987404802744425,0,0,0,1,0,0,0,DNA-related,RVB2,514,556,673,583,424.107577821012,86.9092931654676,42.9186359583952,495.734739279588,208.800340466926,223.704944244604,214.214038632987,209.155051457976
6,0.968527851458886,0.910224736048265,0.871709281961471,0.988479166666667,0,0,1,0,0,0,0,Chaperone,CNE1,377,663,571,720,415.729312997348,81.4277616892911,42.61311558669,551.946838888889,14.0636392572944,13.6024901960784,13.1360735551664,12.3873736111111
7,0.971491031390134,0.914125490196078,0.87968202764977,0.988684210526316,0,0,0,0,0,1,0,Chaperone,TCP1,446,510,434,589,429.292856502242,82.0477862745098,44.0375046082949,443.762962648557,286.397715246637,288.158047058824,271.804806451613,260.847646859083
8,0.970961538461538,0.920095238095238,0.871847870182556,0.989422222222222,1,0,0,0,0,0,0,Chaperone,CCT2,390,420,493,495,441.901494871795,94.5018880952381,44.5288235294118,481.873991919192,6.57358974358974,13.6210071428571,11.2462231237323,8.68348484848485
9,0.975863265306122,0.925220779220779,0.875090191657272,0.988822629969419,1,0,0,0,0,0,0,Chaperone,CCT3,490,539,887,654,468.690810204082,93.2896437847866,43.1147463359639,455.70127675841,64.3165693877551,59.1085844155844,60.838206313416,59.9107415902141
10,0.95495,0.904102941176471,0.897303703703704,0.987416666666667,1,0,0,0,0,0,0,Chaperone,CCT4,160,136,135,144,276.06976875,74.9790147058823,41.3838296296296,304.541972222222,169.5370375,179.677095588235,146.161940740741,156.367263888889
11,0.973030357142857,0.915014851485148,0.892802603036876,0.989309468822171,1,0,0,0,0,0,0,Chaperone,CCT5,560,404,461,433,497.740303571429,87.8989752475247,40.7109804772234,503.885263279446,229.837091071429,237.315212871287,229.246377440347,219.465041570439
12,0.971236514522822,0.91869557195572,0.880337988826816,0.988535877862595,1,0,0,0,0,0,0,Chaperone,CCT6,482,542,358,655,438.984734439834,90.7518763837638,43.3059106145251,461.490479389313,11.039867219917,9.38923800738007,8.76182402234637,12.8714366412214
13,0.96373987206823,0.95415306122449,0.955702127659574,0.986879182156134,0,1,0,0,0,0,0,Chaperone,HSP10,469,196,376,538,469.861914712154,98.8704030612245,47.9724414893617,478.906784386617,1218.26706396588,1061.4968622449,1051.2245106383,1049.75328066914
14,0.975382608695652,0.915014888337469,0.826565727699531,0.987950301204819,1,1,0,1,0,0,0,Chaperone,APJ1,345,403,426,664,437.406289855072,87.5230347394541,39.9677159624413,473.120847891566,16.3781855072464,18.2247320099256,12.7675492957746,17.1472635542169
15,0.973182751540041,0.918770833333333,0.869840690978887,0.988537037037037,1,0,0,1,0,0,0,Chaperone,CAJ1,487,528,521,756,433.943531827515,88.7529450757576,42.8761804222649,453.495448412698,149.147213552361,143.155537878788,137.274788867562,139.384285714286
16,0.975817567567568,0.914694711538461,0.834208393632417,0.987905491698595,0,0,0,1,0,0,0,RNA-related,CWC23,444,416,691,783,435.494218468468,87.5408509615385,40.5309479015919,533.658245210728,18.4483310810811,22.2666129807692,20.1482069464544,19.6171545338442
17,0.971155287817938,0.92584588441331,0.870936967632027,0.987475574712644,1,0,1,0,0,0,1,Peroxisom-related,DJP1,747,571,587,696,442.147515394913,89.9413239929947,43.1996558773424,476.953610632184,151.815613119143,152.331189141856,141.422860306644,138.497198275862
18,0.970441226575809,0.917525672371638,0.870594074074074,0.988934848484848,0,0,1,0,0,0,0,Folding-related,ERJ5,587,409,675,660,452.500403747871,91.3828117359413,41.4665807407407,443.780731818182,31.2220340715503,34.1577432762836,27.8868977777778,27.8278984848485
19,0.971185410334346,0.915877734877735,0.881437037037037,0.988670822942643,0,0,1,0,0,0,0,Chaperone,HLJ1,658,777,675,802,433.809837386018,87.6098198198198,42.1714311111111,463.662314214464,38.3308465045593,40.2281879021879,33.7126459259259,37.9473092269327
20,0.968803069053708,0.92075073313783,0.921124555160142,0.988542296072508,0,1,0,0,0,0,0,Chaperone,JAC1,782,682,562,662,449.142850383632,84.2876304985337,42.0995782918149,468.087622356495,19.4221291560102,19.9319486803519,18.0001565836299,17.3717447129909
21,0.970028142589118,0.91893,0.875809239940388,0.989095087163233,0,0,1,0,0,0,0,Chaperone,JEM1,533,600,671,631,422.173909943715,88.92215,44.4417153502235,477.576917591125,44.2359512195122,43.0055683333333,46.201347242921,43.8282297939778
22,0.969612462006079,0.921799715909091,0.909824196597353,0.988513595166163,0,1,0,0,0,0,0,Chaperone,JID1,658,704,529,662,443.860129179331,84.5847315340909,41.638763705104,492.96646978852,15.6275334346505,13.7780198863636,11.7891550094518,14.4430407854985
23,0.9677,0.91710635155096,0.878741935483871,0.988469135802469,1,1,0,0,0,0,0,Chaperone,JJJ1,520,677,713,648,437.533930769231,88.7386543574594,39.872443197756,455.52749845679,18.2334442307692,18.9644401772526,17.233652173913,18.178174382716
24,0.973262430939226,0.925609154929577,0.860318987341772,0.988728947368421,1,0,0,1,0,0,0,Chaperone,JJJ2,724,568,395,760,439.572705801105,89.6845704225352,40.5116835443038,492.345373684211,11.3553508287293,11.1110334507042,10.6682658227848,12.5092644736842
25,0.972244897959184,0.924298305084746,0.862514124293785,0.988989495798319,1,0,0,1,0,0,0,Chaperone,JJJ3,294,295,354,476,409.699901360544,93.2094644067797,42.1584971751412,493.45143697479,40.6353673469388,42.9829118644068,41.7641553672316,39.3471050420168
26,0.961059233449477,0.927530612244898,0.935167512690355,0.98565625,0,1,0,0,0,0,0,Chaperone,MDJ1,287,294,394,480,433.665240418118,91.2235544217687,40.609461928934,434.158375,182.464,192.361,165.12807106599,172.613622916667
