,wt,fiber,half,nothing,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,nnothing,ywt,yfiber,yhalf,ynothing,rwt,rfiber,rhalf,rnothing
1,0.258711273641851,0.095131474103586,-0.178301433780761,NA,1,0,0,1,0,0,0,Chaperone,HSP104,497,251,447,NA,187.751340040241,89.4039203187251,29.5467673378076,NA,616.196738430584,600.954151394422,567.697991051454,NA
2,-0.081929364470588,0.137867507886435,0.555633569739953,NA,0,1,0,0,0,0,0,Chaperone,HSP78,340,317,423,NA,194.612108823529,93.6973406940063,30.5556903073286,NA,213.237455882353,206.838012618297,221.348200945626,NA
3,-0.060357819905213,0.157317380352645,0.520919402985075,NA,0,1,0,0,0,0,0,Chaperone,MCX1,422,397,335,NA,176.834746445498,84.8079269521411,29.0963611940298,NA,36.904308056872,37.0310680100756,39.6988985074627,NA
4,0.385404977375566,0.024735202384569,-0.22968053030303,NA,0,0,0,1,0,0,0,DNA-related,RVB1,442,499,396,NA,190.980938914027,85.4826973947896,29.0955555555556,NA,249.975459276018,243.122669338677,262.866315656566,NA
5,0.32482863340564,-0.003206751452991,-0.220012882447665,NA,0,0,0,1,0,0,0,DNA-related,RVB2,461,585,621,NA,193.227203904555,84.8587435897436,27.3344412238325,NA,191.343657266811,192.378528205128,196.177423510467,NA
6,-0.116737364384921,-0.039896049717514,-0.096263388059702,NA,0,0,1,0,0,0,0,Chaperone,CNE1,504,354,670,NA,187.382345238095,88.1262429378531,27.7040567164179,NA,11.8462876984127,12.583011299435,11.5662343283582,NA
7,-0.097820344018059,-0.070025102380952,-0.195170673076923,NA,0,0,0,0,0,1,0,Chaperone,TCP1,443,420,416,NA,161.412670428894,83.7588833333333,29.3084639423077,NA,259.233494356659,256.097654761905,261.158651442308,NA
8,-0.050196178097345,-0.006134151319648,-0.094942649390244,NA,1,0,0,0,0,0,0,Chaperone,CCT2,452,341,492,NA,168.315752212389,87.6265894428152,29.1283008130081,NA,9.06643805309734,9.92970381231672,9.2243069105691,NA
9,0.067097874889868,0.006884049160671,-0.17003125,NA,1,0,0,0,0,0,0,Chaperone,CCT3,681,834,416,NA,184.914378854626,86.195118705036,30.6836754807692,NA,57.8396960352423,51.4632541966427,58.1183605769231,NA
10,-0.123009567027027,-0.110809523809524,-0.152923728813559,NA,1,0,0,0,0,0,0,Chaperone,CCT4,185,189,118,NA,94.1632594594595,67.9358518518519,34.1636949152542,NA,135.271508108108,163.766042328042,161.416618644068,NA
11,-0.022474858144796,-0.073135172413793,-0.14900283286119,NA,1,0,0,0,0,0,0,Chaperone,CCT5,442,725,353,NA,234.383785067873,92.8010427586207,27.7452152974504,NA,230.148287330317,236.799095172414,228.121232294618,NA
12,-0.059586897773973,-0.024275007331137,-0.120479518072289,NA,1,0,0,0,0,0,0,Chaperone,CCT6,584,607,415,NA,178.26508390411,89.6122833607908,30.876843373494,NA,8.90835102739726,7.80407084019769,11.3137542168675,NA
13,0.027677566159053,0.311987682631579,0.534707865804598,NA,0,1,0,0,0,0,0,Chaperone,HSP10,591,190,696,NA,210.449553299492,98.5564105263158,32.980525862069,NA,1026.20085617597,1095.12397368421,1059.58854885057,NA
14,0.242924482790698,0.020425850440529,-0.170728538283063,NA,1,1,0,1,0,0,0,Chaperone,APJ1,430,454,431,NA,178.596760465116,82.7933215859031,29.2518515081206,NA,17.4347813953488,16.68340969163,17.5739211136891,NA
15,0.186238482384824,-0.0339039408867,-0.24670104581749,NA,1,0,0,1,0,0,0,Chaperone,CAJ1,369,406,526,NA,183.50564498645,88.5657955665025,27.4339790874525,NA,134.298924119241,130.021167487685,127.181136882129,NA
16,0.25298652970297,-0.037780134412956,-0.193383808095952,NA,0,0,0,1,0,0,0,RNA-related,CWC23,505,494,667,NA,174.816332673267,84.1486518218623,26.7630149925037,NA,21.6683485148515,19.723516194332,19.3578170914543,NA
17,-0.033561976324503,0.057908934907598,-0.102823052727273,NA,1,0,1,0,0,0,1,Peroxisom-related,DJP1,604,487,605,NA,149.890528145695,86.0928131416838,31.4445504132231,NA,152.562299668874,151.393301848049,148.124072727273,NA
18,-0.149127477018634,0.019538759689923,-0.102279808263069,NA,0,0,1,0,0,0,0,Folding-related,ERJ5,483,516,593,NA,190.040619047619,89.655503875969,29.5814839797639,NA,27.0381614906832,28.7521472868217,27.1748465430017,NA
19,-0.030483033454199,0.084540475836431,-0.077638693572779,NA,0,0,1,0,0,0,0,Chaperone,HLJ1,524,538,529,NA,167.568122137405,82.0025,29.604763705104,NA,33.7518854961832,32.4957286245353,31.7349981096408,NA
20,-0.062659574468085,0.144400776,0.531977876106195,NA,0,1,0,0,0,0,0,Chaperone,JAC1,705,550,452,NA,177.385415602837,87.8887763636364,28.8156769911504,NA,20.3352539007092,21.9008509090909,20.4436283185841,NA
21,-0.103986139473684,0.017722250096712,-0.09802299553429,NA,0,0,1,0,0,0,0,Chaperone,JEM1,494,517,627,NA,172.053728744939,84.7176595744681,28.9890558213716,NA,41.4188198380567,38.6785396518375,40.6429920255183,NA
22,-0.062382463731343,0.128981623277182,0.35885578679868,NA,0,1,0,0,0,0,0,Chaperone,JID1,670,653,606,NA,181.243508955224,84.9054578866769,28.723198019802,NA,12.3350597014925,17.7162741194487,13.0925858085809,NA
23,-0.163543239680135,-0.029673346693387,-0.110078825347759,NA,1,1,0,0,0,0,0,Chaperone,JJJ1,594,499,647,NA,171.112005050505,86.5220300601202,27.6195054095827,NA,19.9286296296296,18.4615631262525,16.9799907264297,NA
