,wt,fiber,half,1pok-fiber2,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n1pok-fiber2,ywt,yfiber,yhalf,y1pok-fiber2,rwt,rfiber,rhalf,r1pok-fiber2
52,0.662877034358047,0.65756106870229,0.854627218934911,0.588003614457831,0,1,0,0,0,0,0,Chaperone,MGE1P,553,524,676,830,441.53638517179,97.7185496183206,42.7798565088757,487.031878313253,267.642909584087,270.806669847328,265.501795857988,250.133020481928
53,0.941615808823529,0.927756592292089,0.902830570902394,0.871334841628959,0,0,1,0,0,0,0,Chaperone,SIL1,544,493,543,663,440.171259191176,99.6962941176471,40.005985267035,488.817781297134,76.1594595588235,76.8105801217039,73.3337790055249,77.1116968325792
54,0.903225908372828,0.909640831758034,0.903401438848921,0.855211180124224,0,1,1,0,0,0,0,Structural,SNL1,633,529,695,483,433.627210110585,97.3123308128544,42.4389064748201,490.893395445135,55.8370663507109,51.9869451795841,49.9794086330935,49.2533395445135
55,0.99558211143695,0.985719117647059,0.977217086834734,0.936208695652174,1,1,0,0,0,1,0,Chaperone,HSC82,682,680,714,920,442.76726686217,107.457011764706,54.8228179271709,470.932248913043,4109.29139002933,4158.36603235294,3904.60742436975,4032.08923804348
56,0.996513715710723,0.984801158301158,0.971758832565284,0.921925373134328,1,0,0,0,0,0,0,Chaperone,HSP82,802,518,651,871,449.998483790524,102.107187258687,47.2631105990783,485.696748564868,2141.98017082294,2106.29524324324,2130.24957296467,2271.72462112514
57,0.916270036991369,0.924714587737844,0.956286123032904,0.877520123839009,1,0,0,0,0,0,0,Chaperone,AHA1,811,946,699,646,438.535088779285,95.266955602537,42.9251616595136,464.390027863777,139.884556103576,146.556636363636,133.369464949928,121.268176470588
58,0.970642105263158,0.973518731988473,0.972246734397678,0.918485906040268,1,0,0,0,0,0,0,Chaperone,CDC37,760,694,689,745,448.322942105263,94.7176685878963,43.4280348330914,483.078730201342,175.908422368421,181.03228962536,171.365669085631,172.067963758389
59,0.985594254937163,0.98373731884058,0.969263901147396,0.929709198813056,1,0,0,0,0,0,0,Chaperone,CNS1,557,552,1133,674,448.277298025135,94.9668804347826,41.2751932921447,468.968961424332,86.8129910233393,85.0987880434783,83.6543089143866,83.6733086053412
60,0.979837899543379,0.981449168207024,0.974326530612245,0.926546511627907,1,0,0,0,0,0,0,Chaperone,CPR6,876,541,490,602,445.864576484018,94.1329907578558,44.1699183673469,485.187054817276,445.63975,442.266164510166,433.132791836735,433.149699335548
61,0.94992735042735,0.936466417910448,0.909642685851319,0.897436699857753,1,0,0,0,0,0,0,Chaperone,CPR7,468,268,417,703,428.303801282051,109.472399253731,40.4553333333333,442.683877667141,14.5052735042735,13.4573395522388,13.0574412470024,15.4826642958748
62,0.997065436241611,0.987837535014006,0.97206346483705,0.930040572792363,1,0,0,1,0,0,0,Chaperone,HCH1,596,357,583,838,435.828417785235,102.352708683473,41.7556603773585,448.885644391408,476.451937919463,451.950761904762,441.233166380789,465.961344868735
63,0.957240942028985,0.942413306451613,0.890123613312203,0.894465693430657,1,0,0,1,0,0,0,Chaperone,PIH1,552,496,631,685,418.904210144928,98.6265141129032,39.6591442155309,484.104002919708,22.0047989130435,19.8976995967742,16.8663851030111,17.0971153284672
64,0.992797731568998,0.986422619047619,0.968758434547908,0.928547461368653,1,0,0,1,0,0,0,Chaperone,PPT1,529,504,741,906,440.85747637051,102.940420634921,40.2908016194332,467.673625827815,98.9024328922495,101.343408730159,94.6439568151147,92.9884690949227
65,0.99519295958279,0.982276134122288,0.961622036262204,0.923996326230713,1,0,0,1,0,0,0,Chaperone,SBA1,767,507,717,1361,443.631465449804,98.7296311637081,42.7858256624826,510.129152828802,551.727902216428,543.726765285996,510.091750348675,534.063696546657
66,0.992408679927667,0.988231678486998,0.977574279379157,0.935648822269807,1,0,0,0,0,0,0,Chaperone,STI1,553,423,902,934,421.155607594937,97.5523546099291,43.5035033259423,473.882207708779,1064.9763562387,1075.84760992908,1030.46947339246,1054.68238329764
67,0.992173214285714,0.982994186046512,0.960172638436482,0.937543160690571,1,0,0,1,0,0,0,Chaperone,TAH1,560,688,614,753,426.250458928571,101.363257267442,41.6219674267101,454.150868525896,37.6739857142857,38.7745,35.8444332247557,36.0453399734396
68,0.962782006920415,0.957352307692308,0.943626550868486,0.9190736,1,0,0,0,0,0,0,Chaperone,GIM1/YKE2,867,650,806,625,449.485073817762,99.5868507692308,41.0997791563275,480.1060928,23.5022260668973,108.036292307692,21.6023945409429,22.7248528
69,0.99197693194925,0.984702201622248,0.970557069846678,0.937947293447293,1,0,0,0,0,0,0,Chaperone,GIM2/PAC10,867,863,587,702,444.536668973472,97.3410718424102,42.4549250425894,453.968601139601,104.908814302191,103.061749710313,102.201238500852,103.086739316239
70,0.978778017241379,0.977,0.971806741573034,0.925839572192513,1,0,0,0,0,0,0,Chaperone,GIM3,928,649,890,748,452.884841594828,102.549591679507,39.7603191011236,472.912478609626,166.836160560345,171.723030816641,162.295916853933,165.863426470588
71,0.947979553903346,0.936304498269896,0.9230125,0.89639010989011,1,0,0,0,0,0,0,Chaperone,GIM4,538,578,720,546,448.910472118959,100.925861591696,42.2932597222222,473.042485347985,17.6459107806691,16.841160899654,16.7715111111111,16.6166080586081
72,0.965717514124294,0.961790808240887,0.95291797556719,0.918563329312425,1,0,0,0,0,0,0,Chaperone,GIM5,885,631,573,829,453.162802259887,97.968323296355,39.9681239092496,504.061591073583,32.1483796610169,30.7737480190174,29.0113246073298,31.8692786489747
73,0.94855223880597,0.937020172910663,0.92783842010772,0.89809381663113,1,0,0,0,0,0,0,Chaperone,GIM6/PFD1,335,347,557,469,426.897235820896,108.726273775216,40.385486535009,452.057081023454,19.1734925373134,16.3096195965418,18.298723518851,19.0772174840085
74,0.995286163522013,0.983349315068493,0.968617529880478,0.935587969924812,1,0,0,1,0,1,0,Chaperone,HSP12,636,438,753,665,419.943028301887,102.237593607306,41.9306480743692,407.185566917293,975.752932389937,798.270808219178,918.756792828685,774.088643609023
75,0.985351351351351,0.981705673758865,0.965473384030418,0.927254464285714,1,1,0,1,0,0,0,Chaperone,HSP26,370,564,526,672,422.023527027027,105.416783687943,41.5104733840304,470.646260416667,470.519308108108,605.408693262411,511.306368821293,466.967991071429
