,wt,fiber,half,3n75 wt,cytosol,mitochondria,ER,Nucleus,Vacuole,Plasma-membrane,budneck,Category,names,nwt,nfiber,nhalf,n3n75 wt,ywt,yfiber,yhalf,y3n75 wt,rwt,rfiber,rhalf,r3n75 wt
1,1018.37991858887,1089.10714285714,NA,1126.20326409496,1,0,0,1,0,0,0,Chaperone,HSP104,737,336,NA,674,447.512241519674,75.9181101190476,NA,2348.45208011869,562.502537313433,591.055577380952,NA,590.214410979228
2,1980.67275747508,1990.49182763744,2149.4025974026,2007.85957446809,0,1,0,0,0,0,0,Chaperone,HSP78,602,673,693,705,503.222915282392,70.5929494799406,28.5862496392496,2335.09774609929,184.362993355482,184.164084695394,192.242564213564,183.124144680851
3,334.664912280702,346.185227272727,342.287317620651,339.238505747126,0,1,0,0,0,0,0,Chaperone,MCX1,570,880,891,1044,481.645333333333,72.3217238636364,28.3003468013468,2313.03344827586,36.3986298245614,36.5908670454545,36.2601627384961,39.0740957854406
4,1484.12618724559,1472.44101633394,1494.01511627907,1478.7972027972,0,0,0,1,0,0,0,DNA-related,RVB1,737,551,860,715,493.544402985075,72.6754156079855,26.939211627907,2250.92270769231,242.552052917232,245.318900181488,242.759837209302,242.48371048951
5,902.034161490683,944.078624078624,924.444015444015,961.973973973974,0,0,0,1,0,0,0,DNA-related,RVB2,644,814,518,999,478.552169254658,71.033484029484,26.0103571428571,2314.89879479479,184.011588509317,186.877945945946,186.189976833977,193.689299299299
6,40.373779637378,38.3155080213904,40.9988344988345,45.8888888888889,0,0,1,0,0,0,0,Chaperone,CNE1,717,748,858,684,484.242384937239,70.5833743315508,27.62937995338,2368.85965497076,10.9880641562064,9.91388368983957,11.7779230769231,14.6228187134503
7,471.74531835206,486.181481481481,463.814189189189,458.105063291139,0,0,0,0,0,1,0,Chaperone,TCP1,534,810,888,790,480.482280898876,71.1147765432099,28.6881092342342,2301.34215189873,238.110765917603,249.123130864198,233.937585585586,236.95284556962
8,36.1357234314981,42.2315550510783,39.5044117647059,42.7716535433071,1,0,0,0,0,0,0,Chaperone,CCT2,781,881,680,508,497.054624839949,72.5407377979569,27.5447955882353,2398.98971456693,7.38685147247119,11.4194086265607,9.24572794117647,11.3118622047244
9,120.02809706258,110.70365535248,110.347156398104,112.760416666667,1,0,0,0,0,0,0,Chaperone,CCT3,783,766,844,480,489.875546615581,66.0175287206266,26.1681706161137,2286.97843541667,56.6018480204342,50.643682767624,51.1954834123223,53.1946770833333
10,212.123655913978,241.039647577093,245.548672566372,228.210256410256,1,0,0,0,0,0,0,Chaperone,CCT4,186,227,226,195,328.044548387097,58.4173700440529,34.4207345132743,1583.82548717949,128.424580645161,146.379334801762,148.767694690266,138.827502564103
11,332.609137055838,348.510431154381,333.586206896552,336.719806763285,1,0,0,0,0,0,0,Chaperone,CCT5,591,719,522,414,467.723524534687,66.5664561891516,25.4173620689655,2238.83609661836,204.971610829103,215.373913769124,204.605651340996,206.774132850242
12,37.1322081575246,37.7247706422018,39.5569852941176,40.6094117647059,1,0,0,0,0,0,0,Chaperone,CCT6,711,981,544,425,492.077732770745,72.6442844036697,27.5192150735294,2364.21555764706,7.61521097046414,8.34742303771662,7.82875735294118,10.0691294117647
13,9353.80585516179,10358.4461152882,9196.51901565995,10641.7016129032,0,1,0,0,0,0,0,Chaperone,HSP10,649,399,894,496,504.913354391371,74.6162330827068,30.2505458612975,2364.75259677419,906.667755007704,976.767714285714,920.355485458613,1049.38760282258
14,66.9121756487026,64.5838926174497,59.1192266380236,64.0015552099533,1,1,0,1,0,0,0,Chaperone,APJ1,501,745,931,643,474.790938123752,70.5071033557047,27.9918485499463,2311.78355209953,17.309996007984,15.8068040268456,15.1247669172932,16.8399611197512
15,179.13140311804,183.002962962963,177.105860113422,185.772791023843,1,0,0,1,0,0,0,Chaperone,CAJ1,449,675,529,713,479.741302895323,71.7196622222222,27.6111096408318,2302.73454978962,124.40370155902,127.85144,123.515967863894,128.311012622721
16,78.08,79.8350824587706,80.2113043478261,80.1455301455301,0,0,0,1,0,0,0,RNA-related,CWC23,550,667,1150,962,485.331229090909,72.6083988005997,26.4419373913043,2370.68699480249,18.7384745454545,18.9887436281859,19.2409234782609,20.7558004158004
17,258.776025236593,258.382920110193,264.075421472937,270.165354330709,1,0,1,0,0,0,1,Peroxisom-related,DJP1,634,726,1127,889,466.938820189274,71.8693347107438,29.553719609583,2322.15792125984,144.310307570978,144.744196969697,147.857809228039,150.978977502812
18,89.6103202846975,95.5067466266867,86.9490131578947,88.9618008185539,0,0,1,0,0,0,0,Folding-related,ERJ5,562,667,608,733,483.785637010676,69.9492668665667,27.0261529605263,2380.69790040928,27.2178558718861,28.2886191904048,25.8331677631579,26.4913888130969
19,81.1866859623734,76.0616113744076,75.3393810032017,77.0083798882682,0,0,1,0,0,0,0,Chaperone,HLJ1,691,633,937,716,478.528409551375,70.7451516587678,29.439318036286,2273.02656564246,31.7412735166425,28.2221800947867,27.4578452508004,30.1895837988827
20,126.871833084948,119.538775510204,126.34350132626,123.732142857143,0,1,0,0,0,0,0,Chaperone,JAC1,671,735,754,560,503.910761549925,73.3690530612245,27.1295875331565,2388.6636375,18.3255797317437,19.2796571428571,18.755225464191,20.562725
21,105.787479406919,108.378194207836,112.026785714286,114.478142076503,0,0,1,0,0,0,0,Chaperone,JEM1,607,587,1008,732,496.506642504119,71.0039131175468,27.9414275793651,2352.14618306011,37.6489719934102,36.4550085178876,40.5132658730159,42.1078169398907
